Lap;Team Baffo V5;Dick Dastardly Team;Team Pura Korse;Saltauser Team;Team Frasnelli;Team Coppe;Torggler Racing;Scuderia Glorenza;Team Faggiano
82;59.419;182.179;59.807;60.072;180.453;60.344;60.578;60.871;61.475
83;59.386;60.678;183.503;60.134;61.703;60.271;59.789;61.172;61.153
84;59.343;58.907;61.056;60.315;60.255;60.565;60.607;61.083;60.99
85;59.449;59.012;59.622;59.966;60.162;61.008;60.274;60.533;61.654
86;59.584;59.67;59.756;60.072;60.119;60.817;60.356;60.701;61.576
87;59.546;59.262;59.688;60.121;59.912;60.55;60.333;61.662;62.795
88;59.441;59.496;59.591;60.21;60.294;60.557;60.559;61.469;66.347
89;59.611;59.257;181.638;60.233;60.228;60.654;60.589;61.133;61.37
90;180.435;59.194;61.165;60.67;60.339;60.451;60.576;61.004;61.582
91;61.838;59.453;59.924;60.166;60.482;182.538;60.659;61.07;61.437
92;60.268;59.476;59.705;60.245;60.48;61.961;60.765;183.247;61.407
93;181.082;59.464;59.732;59.652;60.229;60.616;182.53;62.41;61.265
94;61.177;59.191;60.122;59.952;60.074;60.471;62.142;60.363;61.396
95;59.454;59.61;59.941;60.005;60.092;60.317;60.841;60.496;61.653
96;59.558;59.544;181.433;60.256;59.989;60.377;60.305;60.384;61.387
97;59.38;59.556;61.177;60.477;60.201;60.18;60.628;60.489;61.787
98;59.414;180.491;59.516;60.524;60.25;60.102;60.736;60.393;61.438
99;59.33;183.364;59.455;60.375;59.755;60.229;61.447;60.578;182.275
100;59.093;60.637;59.512;181.466;60.185;61.268;60.946;60.753;62.025
101;59.309;59.215;59.56;62.061;60.92;60.403;60.368;60.626;60.638
102;59.339;59.341;59.661;60.543;60.512;61.864;61.283;60.596;60.513
103;59.324;59.345;59.523;60.375;60.78;60.181;60.705;60.735;60.346
104;59.361;59.365;59.612;60.718;60.511;60.034;60.307;60.462;60.355
105;59.284;59.261;59.48;60.212;60.483;60.398;60.597;60.618;60.211
106;59.441;59.355;59.549;60.451;60.915;60.209;60.138;60.445;60.483
107;59.343;59.355;59.633;60.651;60.392;60.752;60.663;60.632;60.322
108;59.508;59.461;59.58;60.75;60.908;60.476;60.508;60.33;60.269
109;59.788;59.911;59.418;60.902;61.044;60.479;60.14;60.738;60.312
110;60.021;60.363;59.674;60.087;60.055;;;;
111;59.71;59.74;59.544;;;;;;
