Lap;Team Baffo V5;Dick Dastardly Team;Team Pura Korse;Saltauser Team;Team Frasnelli;Team Coppe;Torggler Racing;Scuderia Glorenza;Team Faggiano
86;0;1.464;6.504;54.667;71.073;124.416;121.904;136.271;135.377
87;0;1.18;6.646;55.242;71.439;125.42;122.691;138.387;138.626
88;0;1.235;6.796;56.011;72.292;126.536;123.809;140.415;145.532
89;0;0.881;8.823;56.633;72.909;127.579;124.787;141.937;147.291
90;0.36;0;9.913;57.228;73.173;127.955;125.288;142.866;148.798
91;2.745;0;10.384;57.941;74.202;131.04;126.494;144.483;150.782
92;3.537;0;10.613;58.71;75.206;133.525;127.783;148.254;152.713
93;5.155;0;10.881;58.898;75.971;134.677;130.849;151.2;154.514
94;7.141;0;11.812;59.659;76.854;135.957;133.8;152.372;156.719
95;6.985;0;12.143;60.054;77.336;136.664;135.031;153.258;158.762
96;6.999;0;14.032;60.766;77.781;137.497;135.792;154.098;160.605
97;6.823;0;15.653;61.687;78.426;138.121;136.864;155.031;162.836
98;5.746;0;14.678;61.72;78.185;137.732;137.109;154.933;163.783
99;1.712;0;10.769;58.731;74.576;134.597;135.192;152.147;162.694
100;0.168;0;9.644;59.56;74.124;135.228;135.501;152.263;164.082
101;0.262;0;9.989;62.406;75.829;136.416;136.654;153.674;165.505
102;0.26;0;10.309;63.608;77;138.939;138.596;154.929;166.677
103;0.239;0;10.487;64.638;78.435;139.775;139.956;156.319;167.678
104;0.235;0;10.734;65.991;79.581;140.444;140.898;157.416;168.668
105;0.258;0;10.953;66.942;80.803;141.581;142.234;158.773;169.618
106;0.344;0;11.147;68.038;82.363;142.435;143.017;159.863;170.746
107;0.332;0;11.425;69.334;83.4;143.832;144.325;161.14;171.713
108;0.379;0;11.544;70.623;84.847;144.847;145.372;162.009;172.521
109;0.256;0;11.051;71.614;85.98;145.415;145.601;162.836;172.922
110;0;0.086;10.448;71.424;85.758;;;;
111;0;0.116;10.282;;;;;;
