Lap;Luciano Partacini;Walter Stimpfl;Martin Putzer;Axel Bianchi;Matteo Sannia;Ronald Musa;Peter Stuffer;Patrick Tschöll;Matteo Biasi;Felix Ladurner;Paolo Bagozzi;Matteo Traina;Giancarlo Finelli;Martin Jan Clemens;Giorginho;Aldo Pistono;Marc Pistono;Gabriele Odorizzi
42;0.756;0.348;0;8.023;21.153;23.193;25.42;35.538;39.776;49.275;66.827;72.394;82.253;104.184;165.213;26.787;79.633;194.426
43;0.854;0.449;0;8.262;22.865;26.155;25.8;36.277;41.617;51.844;68.484;73.663;84.351;105.457;169.499;27.45;83.288;197.397
44;0.851;0.594;0;8.731;25.311;27.366;26.162;37.307;43.039;52.607;69.464;74.751;85.659;106.951;174.454;28.314;85.42;200.009
45;0.954;0.292;0;9.236;25.516;28.212;26.864;38.321;44.226;52.896;70.415;75.747;87.374;108.441;177.807;29.352;94.249;202.901
46;0.883;0.153;0;9.729;25.59;28.769;32.915;39.382;45.633;55.574;71.403;79.041;89.675;109.722;180.165;30.28;96.101;205.409
47;0.664;0.201;0;10.324;25.866;29.363;35.543;40.29;46.984;56.34;72.255;83.138;90.77;111.45;182.684;31.626;97.761;207.165
48;0.422;0.116;0;11.142;26.118;30.371;36.768;42.945;48.583;56.523;73.917;86.595;93.326;115.543;185.61;32.227;98.934;
49;0.563;0.254;0;11.438;25.839;30.605;37.733;45.251;49.802;56.317;74.839;87.974;95.285;119.24;187.847;33.424;100.155;
50;1.353;0.461;0;11.89;26.362;31.223;38.59;45.707;50.896;56.603;76.079;89.345;96.986;121.998;189.77;34.243;;
51;3.224;2.47;0;12.479;26.52;32.188;40.442;46.463;52.44;57.104;89.219;90.864;98.88;123.724;193.564;;;
52;0;0.257;6.317;8.199;22.446;28.802;37.481;42.493;49.7;53.314;88.626;88.782;96.878;121.929;192.364;;;
53;0.396;0;8.045;9.648;22.23;29.455;38.288;43.056;50.714;53.611;89.04;89.599;98.644;123.297;;;;
54;0.493;0;8.533;9.944;22.51;30.297;39.814;44.084;52.203;53.97;89.683;90.148;100.435;;;;;
55;0;0.099;8.03;8.996;22.141;30.189;40.403;43.961;52.628;53.243;;;;;;;;
