Lap;Luciano Partacini;Walter Stimpfl;Martin Putzer;Axel Bianchi;Matteo Sannia;Ronald Musa;Peter Stuffer;Patrick Tschöll;Matteo Biasi;Felix Ladurner;Paolo Bagozzi;Matteo Traina;Giancarlo Finelli;Martin Jan Clemens;Giorginho;Aldo Pistono;Marc Pistono;Gabriele Odorizzi
42;0.756;0.348;0;8.023;21.153;143.193;25.42;35.538;159.776;169.275;66.827;72.394;202.253;104.184;285.213;26.787;79.633;194.426
43;0.854;0.449;0;8.262;142.865;146.155;25.8;36.277;161.617;171.844;68.484;73.663;204.351;105.457;289.499;27.45;83.288;197.397
44;0.851;0.594;0;8.731;145.311;147.366;26.162;37.307;163.039;172.607;69.464;74.751;205.659;106.951;294.454;28.314;85.42;200.009
45;0.954;0.292;0;9.236;145.516;148.212;26.864;38.321;164.226;172.896;70.415;75.747;207.374;108.441;297.807;29.352;94.249;202.901
46;0.883;0.153;0;9.729;145.59;148.769;152.915;39.382;165.633;175.574;71.403;199.041;209.675;109.722;300.165;30.28;96.101;205.409
47;0.664;0.201;0;10.324;145.866;149.363;155.543;40.29;166.984;176.34;72.255;203.138;210.77;111.45;302.684;31.626;97.761;207.165
48;0.422;0.116;0;11.142;146.118;150.371;156.768;162.945;168.583;176.523;73.917;206.595;213.326;235.543;305.61;32.227;98.934;
49;0.563;0.254;0;11.438;145.839;150.605;157.733;165.251;169.802;176.317;74.839;207.974;215.285;239.24;307.847;33.424;100.155;
50;121.353;0.461;0;11.89;146.362;151.223;158.59;165.707;170.896;176.603;76.079;209.345;216.986;241.998;309.77;34.243;;
51;123.224;122.47;0;12.479;146.52;152.188;160.442;166.463;172.44;177.104;209.219;210.864;218.88;243.724;313.564;;;
52;0;0.257;6.317;8.199;22.446;28.802;37.481;42.493;49.7;53.314;88.626;88.782;96.878;121.929;192.364;;;
53;0.396;0;8.045;9.648;22.23;29.455;38.288;43.056;50.714;53.611;89.04;89.599;98.644;123.297;;;;
54;0.493;0;8.533;9.944;22.51;30.297;39.814;44.084;52.203;53.97;89.683;90.148;100.435;;;;;
55;0;0.099;8.03;8.996;22.141;30.189;40.403;43.961;52.628;53.243;;;;;;;;
