;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
183;0;0.113;22.607;22.777;161.9;28.31;249.111;171.171;187.38;140.125;205.509;158.61;215.756;165.585;123.3;269.413;325.273;321.721;341.799;372.917;297.674;390.154;418.012;96.676;473.848;383.871;543.413;480.145;600.316;
184;0;0.101;22.695;22.824;162.504;163.361;250.163;171.383;188.303;275.996;159.094;293.973;216.624;300.466;123.6;403.59;326.161;323.127;344.237;374.103;251.171;391.231;419.459;97.854;475.514;384.379;497.401;481.619;735.861;
185;0;0.269;69.825;70.267;210.144;211.369;298.21;218.741;236.023;325.97;340.08;342.026;217.1;348.493;171.376;451.778;374.421;371.64;393.249;422.275;433.834;439.491;467.721;145.543;523.947;432.617;678.625;530.235;784.322;
186;111.612;111.714;0;0.396;187.58;189.122;275.984;196.036;166.344;304.608;318.277;320.098;329.241;326.628;149.161;429.713;352.626;350.205;371.534;400.437;412.533;418.221;448.42;123.239;502.222;410.465;657.758;461.379;762.733;
187;0;0.151;22.291;22.818;76.179;77.36;164.541;84.289;188.854;193.588;206.566;208.76;218.278;215.685;37.621;318.703;241.348;239.727;260.315;289.346;301.798;307.723;337.76;11.542;392.442;299.252;547.035;487.035;651.859;
188;36.182;36.288;58.419;58.738;112.216;113.2;200.48;73.185;225.138;230.268;242.637;244.851;254.941;252.24;26.442;354.526;277.61;276.64;297.59;325.908;338.725;344.437;374.738;0;429.202;288.157;583.775;525.32;688.485;
189;0;0.246;21.89;22.147;75.632;76.428;164.14;170.321;189.182;194.737;205.988;208.235;219.038;216.039;124.7;318.029;241.413;193.576;262.387;290.069;303.007;308.468;292.119;98.102;394.068;396.816;548.023;492.708;652.947;
190;0;0.173;21.4;21.6;75.305;76.079;163.807;170.16;188.806;195.384;205.916;208.333;218.965;216.85;124.479;318.012;241.38;328.605;263.071;290.248;303.766;308.931;427.701;99.155;394.468;397.946;548.472;495.078;653.049;
191;0;0.178;68.66;68.978;123.164;123.266;211.264;217.776;236.223;196.257;253.563;255.817;266.877;264.836;172.06;365.744;288.953;379.254;311.589;338.067;351.943;357.247;476.534;147.726;442.768;446.263;598.022;543.557;701.662;
192;113.773;113.578;0;0.274;101.57;101.737;189.938;196.435;214.828;309.985;232.396;234.34;245.809;243.94;150.528;344.194;267.946;358.952;243.286;317.271;331.816;336.624;456.622;127.142;422.498;425.509;577.19;524.019;680.903;
193;59.919;59.626;79.31;79.524;0;0.153;88.561;142.014;160.468;255.987;178.178;180.302;191.913;189.511;96.377;289.959;214.004;305.863;323.628;263.199;230.609;283.063;403.241;73.977;321.456;372.141;523.457;471.156;627.096;
194;32.863;33.119;52.032;52.197;106.441;106.541;195.729;114.989;133.462;228.956;151.162;153.086;164.798;162.236;21.795;262.884;187.138;279.655;297.678;235.956;338.266;209.299;377.312;0;429.31;297.863;496.579;444.46;600.518;
195;0;0.205;18.972;19.076;73.768;73.87;163.958;82.281;100.611;196.349;118.089;120.205;131.984;129.197;122.805;230.286;154.722;247.873;265.798;203.688;308.005;312.719;345.478;101.683;397.662;414.019;464.083;412.968;567.95;
