;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
45;2.577;2.404;0;9.187;18.487;12.769;19.115;103.797;13.935;1.662;32.801;39.126;13.097;30.239;39.359;19.01;122.919;11.51;16.71;149.093;135.23;147.488;242.248;12.556;171.452;152.485;201.787;175.813;229.073;288.849
46;30.322;30.175;28.367;37.531;46.387;40.877;0;132.127;42.332;29.824;61.317;67.464;41.28;58.645;67.693;47.158;151.887;39.951;45.601;177.911;163.839;178.44;271.47;40.727;201.549;180.976;231.843;205.605;259.113;319.392
47;34.428;34.29;32.819;42.07;51.202;45.523;138.992;136.962;0;34.73;65.935;72.396;45.861;63.446;72.597;51.68;157.14;47.301;51.492;182.727;169.028;183.815;276.468;47.138;207.283;186.623;238.421;211.781;268.863;326.72
48;1.122;1.009;0;9.105;18.201;12.663;106.723;104.254;102.214;1.564;33.302;39.766;13.231;30.842;39.937;18.784;124.818;14.85;19.374;151.1;136.827;152.615;244.115;14.623;175.69;154.459;207.422;179.749;242.154;296.211
49;1.005;0.867;0;9.115;18.086;14.741;106.915;104.583;103.839;1.363;33.476;39.949;13.345;31.065;40.21;18.812;125.767;15.735;20.196;151.617;137.561;154.111;244.483;15.001;177.607;155.016;211.872;180.984;245.719;298.493
50;7.8;7.666;7.069;16.235;25.182;22.78;114.399;112.166;112.755;8.18;40.777;0;21.077;39.117;47.429;26.082;133.484;23.058;28.642;159.019;145.696;162.743;252.299;22.665;185.961;162.868;173.11;189.77;256.169;307.969
51;14.848;14.67;14.232;23.988;32.447;30.262;121.893;72.506;120.693;15.15;49.032;141.755;28.748;0;7.521;33.86;141.86;30.52;36.55;166.831;153.94;171.585;260.522;30.022;195.018;170.628;316.361;150.653;265.999;317.412
52;0.139;0;0.447;9.797;17.947;16.282;107.242;192.208;106.605;0.587;34.933;129.785;14.621;119.999;127.183;19.534;128.218;16.546;22.458;152.623;140.093;157.963;246.541;15.863;181.661;156.738;303.496;272.185;253.234;304.997
53;12.073;11.903;12.395;21.74;30;28.293;119.602;205.466;119.482;12.499;0;143.498;27.276;133.494;140.077;31.919;142.09;28.614;35.684;165.462;152.829;171.36;259.455;28.125;195.095;169.775;316.701;286.863;267.524;270.977
54;0.191;0;0.385;9.77;18.163;16.527;108.241;194.225;108.137;0.662;122.159;133.027;15.781;122.673;129.048;20.299;130.46;16.79;24.62;153.915;141.712;160.752;248.41;16.336;184.48;158.855;305.845;277.557;259.514;398.916
55;0.238;0;0.569;10.253;17.785;16.497;108.437;194.831;108.616;0.815;122.602;133.995;16.056;122.913;129.271;20.755;130.84;16.798;25.004;154.31;142.346;161.816;249.233;16.354;185.908;159.475;306.988;279.428;214.005;403.741
56;0.105;0;0.449;10.297;18.094;17.026;155.972;242.63;156.266;0.977;170.774;134.494;16.609;170.875;176.564;21.228;178.358;17.242;72.631;201.877;190.113;209.746;297.11;16.879;234.285;207.684;355.234;327.904;396.664;456.176
57;60.99;60.867;61.729;70.572;78.945;78.469;82.571;170.022;82.831;73.804;97.919;194.165;87.876;98.097;103.164;81.868;58.245;79.937;0;128.996;117.56;137.573;224.191;78.101;114.475;87.508;283.285;258.004;324.546;390.624
58;61.14;60.647;61.445;69.902;78.353;78.188;81.839;170.706;82.24;74.54;97.726;194.075;88.097;97.865;102.867;81.645;192.387;80.491;0;128.802;70.203;138.034;224.527;78.063;249.388;222.042;283.64;259.764;325.141;395.048
59;61.506;61.337;60.962;69.833;77.924;77.707;81.394;170.883;81.927;75.431;97.558;193.791;87.712;97.683;102.287;81.232;192.539;80.801;0;128.715;204.893;138.414;224.622;77.495;251.532;223.659;283.634;212.661;325.743;398.873
60;60.914;60.774;60.169;69.067;77.423;77.294;80.975;171.164;81.635;76.202;97.368;193.713;87.826;97.574;101.93;80.793;193.217;81.495;0;81.403;205.326;139.251;224.559;76.969;254.257;225.152;283.759;348.647;326.175;405.955
61;60.449;60.307;59.724;68.572;77.032;76.803;81.06;171.573;81.752;77.496;97.262;193.733;88.179;97.516;101.653;80.929;194.001;81.488;0;216.519;206.803;139.881;224.94;76.614;255.558;226.535;284.092;349.497;326.781;412.923
62;59.81;59.697;59.059;67.936;76.401;76.166;81.274;171.846;81.799;77.947;97.083;193.757;88.064;97.32;101.46;81.186;194.017;81.619;0;217.441;206.788;140.266;224.984;75.972;256.834;228.142;284.61;353.533;327.305;417.345
63;58.957;58.783;58.173;67.019;75.927;76.819;81.098;172.025;81.883;78.477;96.961;193.525;88.042;97.26;101.146;83.004;194.017;81.656;0;217.999;207.262;140.256;225.247;75.638;257.756;229.995;284.602;355.125;327.913;423.215
64;58.314;58.17;57.468;66.368;75.875;76.785;80.758;172.281;81.756;78.902;97.031;193.462;87.81;97.475;100.819;83.129;193.929;81.98;0;218.269;207.596;144.399;225.553;75.677;259.132;231.757;285.072;356.921;328.402;427.538
65;57.611;57.442;56.569;65.468;76.771;77.044;80.388;172.813;81.772;80.242;96.807;193.559;87.775;97.047;100.438;83.023;193.906;82.158;0;218.636;208.03;144.843;226.201;76.267;260.186;233.358;285.24;357.315;328.964;432.159
66;56.606;56.478;55.936;64.671;76.018;76.259;79.677;172.824;81.92;80.364;96.208;193.469;87.467;96.361;99.838;82.995;193.958;82.3;0;219.348;208.89;144.894;226.457;75.823;260.744;235.403;285.139;357.45;329.781;437.741
67;55.863;55.763;55.1;64;75.522;75.882;79.238;173.117;81.664;80.312;95.739;193.501;87.453;95.97;99.63;82.618;193.885;82.374;0;219.967;209.805;144.758;226.394;75.209;262.004;236.69;285.426;357.983;330.489;445.194
68;102.251;102.149;101.233;110.135;122.292;122.56;126.055;220.585;128.446;127.51;143.168;240.674;134.656;143.371;146.342;131.852;240.95;131.731;0;267.573;258.022;192.296;226.582;122.042;309.841;285.022;285.48;405.534;378.738;496.829
69;1.015;0.913;0;8.866;21.42;21.704;25.339;120.437;27.745;27.272;42.372;140.282;34.016;42.64;45.79;31.598;140.859;31.974;33.3;119.906;157.854;44.908;261.592;21.203;210.518;186.295;323.61;305.696;278.857;402.281
70;1.036;0.853;0;8.731;21.817;22.021;25.927;122.484;28.996;28.491;43.079;141.252;34.772;43.214;46.02;32.606;141.822;32.967;35.121;256.432;159.149;181.317;263.721;21.555;212.655;188.992;326.642;306.998;280.158;407.964
71;1.108;0.976;0;8.8;22.207;22.6;26.853;124.304;30.099;29.84;43.575;142.198;35.508;43.784;46.317;33.562;142.588;33.903;36.803;259.177;160.025;183.045;265.45;22.106;214.495;191.459;329.488;309.006;281.746;413.907
72;1.012;0.902;0;8.738;22.521;22.782;27.455;77.897;31.313;30.621;44.003;143.026;35.838;44.232;46.815;34.215;143.327;34.545;37.798;260.309;162.114;184.688;266.871;22.303;216.91;194.535;331.103;311.241;282.887;420.413
73;0.963;0.815;0;8.857;22.771;22.953;27.8;212.791;31.727;31.365;44.142;143.889;36.098;44.306;46.887;34.785;144.128;35.199;38.435;261.37;163.145;186.008;267.735;22.46;220.248;196.944;333.628;312.732;283.494;427.154
74;19.919;19.792;19.249;28.02;41.711;42.148;0;233.029;51.761;52.474;63.441;163.659;55.525;63.553;66.044;54.82;163.954;55.141;58.361;281.51;183.598;206.518;288.123;41.544;240.943;217.727;354.985;333.349;303.305;452.59
75;15.026;14.859;14.587;23.432;36.762;37.422;130.197;229.358;0;48.566;58.78;159.42;51.055;11.678;61.066;50.242;159.715;50.609;54.433;277.668;180.715;202.917;284.481;36.659;238.625;215.008;351.967;329.808;299.15;453.288
76;10.94;10.792;10.418;19.32;33.095;33.699;127.229;227.966;132.165;46.193;55.325;156.234;47.394;147.742;57.517;46.942;156.688;0;51.399;274.864;179.828;200.33;282.081;32.949;236.654;213.674;349.487;327.646;296.261;455.649
77;0.426;0.305;0;8.872;22.838;23.611;117.79;219.029;123.561;38.401;45.75;146.595;37.862;138.768;47.677;37.505;99.643;142.644;42.387;265.817;171.155;191.039;272.678;22.672;180.294;205.343;341.102;319.138;286.908;450.865
78;0.764;0.608;0.307;9.207;23.818;24.342;119.203;221.611;125.422;40.039;0;147.681;39.412;140.547;48.921;39.554;235.402;145.248;44.152;267.283;125.907;194.022;274.502;23.547;315.601;159.126;343.323;273.734;241.035;406.559
79;6.82;6.686;6.49;15.254;31.812;32.141;126.489;228.646;133.465;0;141.836;154.356;46.319;148.103;8.674;46.497;243.092;152.943;51.369;274.646;267.99;201.271;282.191;30.095;323.411;300.374;351.612;416.369;384.068;637.71
80;0.489;0.28;0;8.886;27.391;27.203;120.869;222.74;129.612;131.307;137.416;149.063;40.593;142.699;148.333;40.872;239.206;148.447;46.546;269.1;263.184;195.924;276.96;24.258;318.992;295.853;346.924;414.572;380.152;636.345
81;0.587;0.483;0;8.873;28.26;27.991;122.3;176.067;130.533;132.514;139.311;149.69;41.178;143.757;149.244;41.375;240.848;149.527;47.877;270.251;265.18;196.868;278.16;24.848;321.002;297.467;349.266;419.019;383.755;639.613
82;0.694;0.583;0;8.85;28.831;28.5;123.368;311.721;131.805;133.263;140.662;103.209;41.67;144.772;150.498;41.776;242.211;103.016;49.279;271.354;266.977;198.233;282.377;25.478;322.743;299.143;350.907;421.229;386.003;643.165
83;0.472;0.32;0;8.72;29.475;29.135;124.102;313.055;133.672;134.378;141.637;237.936;41.966;145.485;151.61;42.282;243.447;238.54;50.245;272.574;268.21;199.17;283.072;25.707;324.985;300.7;353.394;423.865;389.146;645.514
84;0.576;0.464;0;8.803;29.911;29.63;171.941;360.938;181.643;182.518;190.524;286.172;42.514;193.803;200.156;43.063;292.451;287.264;98.209;320.619;317.399;247.994;330.769;25.91;375.232;349.532;354.273;473.116;439.172;695.688
85;35.325;35.107;34.878;43.567;65.319;65.067;73.43;262.221;83.631;84.233;92.376;188.166;96.527;95.455;101.972;132.036;194.758;189.409;0;221.973;219.494;149.523;232.365;62.946;279.005;251.769;396.445;376.068;342.015;600.325
86;34.764;34.955;34.353;43.5;65.081;65.383;72.923;261.779;83.253;83.377;91.891;188.657;96.724;95.129;101.339;131.896;194.802;189.472;0;221.803;219.371;149.069;231.911;63.489;278.76;252.005;397.842;376.923;342.612;602.278
87;34.164;34.296;33.828;42.982;64.783;65.097;72.466;263.063;82.724;82.884;91.587;188.709;97.159;47.616;100.857;131.461;196.901;189.812;0;221.553;219.391;149.002;232.059;64.001;278.893;252.576;398.834;378.245;343.642;604.688
88;33.942;34.049;33.395;43.28;65.219;65.72;72.338;263.362;82.985;83.191;92.076;188.975;97.89;182.745;101.383;131.544;198.828;190.834;0;221.607;219.712;149.493;231.952;66.033;279.283;253.321;399.767;380.306;346.028;606.95
89;32.83;33.823;32.67;43.143;64.755;65.463;71.746;262.75;82.636;82.804;91.554;188.915;97.908;183.453;101.232;131.933;198.423;191.084;0;221.039;219.805;149.473;231.509;65.828;279.133;253.658;400.237;381.012;348.391;608.15
90;32.059;32.986;31.9;42.191;64.551;64.958;71.661;262.384;82.188;82.388;91.088;188.462;98.056;183.628;100.832;131.087;198.794;191.381;0;220.381;219.672;149.099;231.21;67.081;279.085;253.613;400.921;381.824;349.19;609.43
91;32.041;32.501;31.887;41.994;64.635;65.005;71.494;262.48;82.713;82.93;91.176;188.978;98.071;184.242;101.053;130.801;199.302;192.538;0;220.837;220.587;149.845;231.599;68.22;279.867;206.089;401.603;382.984;351.549;612.249
92;31.883;32.027;31.677;41.649;65.023;65.24;24.111;262.465;83.525;83.16;91.193;189.52;98.205;184.868;101.406;130.7;199.893;145.713;0;221.179;221.072;103.271;231.939;69.127;280.939;343.048;402.251;383.832;352.813;614.138
93;31.128;31.252;31.691;40.913;64.664;65.071;158.742;261.992;83.367;83.044;91.122;189.549;98.3;184.987;101.302;130.119;200.008;280.721;0;221.159;220.987;239.418;232.291;69.712;281.243;345.467;402.482;384.132;353.812;615.049
94;30.583;30.744;30.985;40.166;64.604;64.96;160.6;262.005;83.379;83.032;91.436;189.89;98.92;185.448;101.653;129.935;200.372;281.977;0;221.67;221.775;241.153;185.706;70.09;282.188;347.805;403.548;385.822;355.198;617.191
95;29.877;30.04;30.331;39.548;64.568;64.895;160.641;261.999;83.697;83.29;91.737;189.818;51.932;186.134;102.453;129.678;200.742;283.168;0;222.267;223.453;242.561;321.691;71.129;283.371;350.286;404.362;386.332;357.067;618.784
96;29.385;29.529;29.776;39.059;64.48;65.314;160.639;261.959;83.901;83.758;92.676;190.012;186.034;186.665;102.772;129.81;201.189;284.254;0;223.352;224.751;243.749;323;71.762;284.44;353.575;405.132;387.328;358.626;621.471
97;28.683;28.789;29.097;38.263;64.632;65.052;160.09;261.681;83.995;83.535;95.457;190.147;186.581;186.686;102.976;129.816;201.687;285.259;0;175.889;225.727;244.814;324.396;72.298;237.279;355.432;405.859;389.293;360.143;623.645
98;75.638;75.762;77.132;85.625;112.833;112.589;207.662;309.169;131.188;130.869;143.358;237.627;234.442;234.267;150.997;176.964;202.15;333.867;0;358.345;273.258;293.192;372.454;120.145;420.448;405.089;454.112;437.46;362.13;674.163
99;0;0.16;1.917;9.748;37.71;37.586;132.448;234.067;56.015;55.827;68.777;162.597;159.626;159.317;76.041;101.583;261.678;260.6;160.092;284.921;199.046;218.853;297.902;45.797;347.529;333.027;379.546;363.099;425.781;601.346
100;0;0.122;2.073;9.965;37.854;37.687;133.12;234.38;56.42;56.045;22.047;163.336;160.284;160.083;29.299;102.009;262.96;261.876;164.265;286.537;199.936;220.928;299.015;47.302;349.167;335.836;380.864;364.318;430.233;603.812
101;0;0.201;2.708;11.307;38.214;38.42;133.434;234.981;56.946;56.431;157.21;163.993;160.784;160.683;163.553;102.641;264.203;263.16;166.641;287.894;201.306;221.988;300.594;48.933;351.202;338.299;334.37;365.96;434.349;606.119
102;0;0.13;3.068;12.263;38.623;38.743;133.593;236.11;57.56;56.642;158.455;164.408;161.644;161.244;164.191;102.8;264.977;216.566;170.023;288.881;203.987;223.278;302.236;50.323;352.748;340.844;472.688;367.164;437.501;609.095
103;0;0.174;3.125;12.378;38.85;39.127;133.918;236.984;10.815;57.333;159.785;165.104;162.239;161.985;164.862;103.796;265.974;352.225;174.807;290.05;157.637;224.368;303.19;51.491;357.102;343.064;476.13;369.763;443.232;611.678
104;0;0.104;3.096;12.258;39.481;39.944;134.183;237.605;145.958;57.882;160.852;165.594;162.749;162.546;165.295;104.164;266.892;353.71;176.872;291.541;292.36;225.42;304.899;53.007;359.526;345.962;479.442;371.475;451.843;613.949
105;0;0.104;3.346;12.488;40.345;40.486;134.612;238.394;147.672;58.677;162.101;166.097;163.406;163.188;165.994;104.522;267.829;355.415;179.118;292.82;295.195;226.383;306.035;54.557;361.597;348.543;482.051;373.387;456.863;619.455
106;0;0.189;3.315;12.475;40.524;40.778;134.87;238.944;148.912;12.413;163.106;166.369;164.507;164.354;166.167;104.78;268.555;356.748;132.762;294.393;298.995;227.472;307.313;55.826;363.203;350.979;484.746;376.48;460.428;622.28
107;0;0.101;3.514;12.616;40.813;40.983;135.203;192.302;149.788;147.469;164.302;167.132;165.377;165.168;166.998;105.225;269.851;357.912;266.975;295.272;300.948;228.295;308.734;57.171;364.456;353.336;487.557;377.974;464.462;624.802
108;0;0.102;3.435;12.662;41.405;41.663;135.835;327.363;150.507;149.033;165.153;121.026;166.2;118.452;168.459;105.695;271.066;360.242;269.106;296.684;302.893;229.25;310.036;58.592;366.146;355.953;491.236;380.597;469.852;627.621
109;0;0.104;3.43;12.636;41.821;42.166;136.328;328.32;151.234;150.488;166.067;254.335;166.575;253.801;169.211;58.98;271.876;361.383;270.749;298.201;304.35;230.257;311.371;60.119;367.919;358.748;495.466;335.324;472.935;631.778
110;0;0.152;3.401;12.718;42.048;42.229;183.908;376.262;198.732;198.597;213.621;301.884;213.822;302.192;216.746;240.667;319.418;409.059;318.848;346.624;352.658;278.803;359.577;60.694;416.568;408.291;545.36;518.74;524.225;681.523
111;2.8;2.505;0;9.119;40.616;40.417;46.763;239.249;61.803;61.688;77.487;165.454;76.965;166.362;79.908;103.783;182.963;273.481;183.201;210.273;216.193;142.216;175.571;57.501;280.851;274.516;410.342;383.288;390.464;546.077
112;3.704;3.562;1.163;9.988;41.642;41.454;0;240.135;62.881;15.125;78.639;166.582;77.633;167.254;80.492;104.867;183.82;274.199;184.359;211.955;217.26;142.966;312.939;58.842;282.278;276.644;413.202;384.213;394.221;548.821
113;2.484;2.311;0;8.705;40.493;40.234;133.588;239.259;61.708;148.361;77.625;165.774;76.877;166.683;79.536;104.471;183.015;273.172;183.672;211.376;216.816;143.072;313.705;57.983;282.856;277.133;415.527;383.501;346.653;549.646
114;2.776;2.324;0;8.779;40.725;40.347;134.779;239.933;62.081;149.429;78.837;166.26;78.386;167.141;80.388;106.515;183.629;274.575;184.269;212.279;218.019;143.447;316.239;58.52;283.898;279.852;417.793;384.486;482.033;552.039
115;2.592;2.44;0;8.784;42.214;41.729;135.695;240.345;62.395;149.647;79.1;166.671;78.503;167.265;80.531;106.851;185.175;275.099;185.453;213.849;218.821;143.642;317.689;58.725;285.195;280.967;419.81;385.83;484.871;554.738
116;2.492;2.338;0;8.763;42.627;42.3;136.49;240.783;62.752;150.31;79.362;167.175;78.954;167.673;80.716;107.159;186.008;275.528;186.244;215.207;219.958;144.201;319.42;59.373;286.262;282.444;422.521;388.461;486.557;508.593
117;2.651;2.501;0;8.801;43.264;42.733;137.663;241.569;63.164;150.862;81.064;167.934;80.155;168.291;81.626;107.791;139.306;276.51;187.034;216.065;221.98;98.111;321.187;60.035;240.016;284.891;376.51;390.577;488.099;652.184
118;2.906;2.736;0;8.868;43.92;43.415;138.85;242.396;63.665;151.384;83.013;168.927;81.021;169.184;82.688;108.739;274.87;277.152;188.236;217.158;223.579;234.779;323.526;60.563;377.27;287.511;511.727;392.05;489.373;658.344
119;2.86;2.682;0;8.687;44.409;43.994;139.789;242.807;64.114;151.676;83.152;169.541;81.445;169.836;82.944;109.318;276.116;277.229;189.098;170.219;224.278;235.891;324.428;60.661;379.452;241.144;513.446;393.18;490.432;663.201
120;3.082;2.829;0;8.552;45.349;45.11;140.682;243.271;64.74;152.168;83.797;170.116;82.246;170.367;83.262;109.809;277.135;277.76;189.96;306.841;225.236;236.721;325.887;60.886;381.276;375.283;516.285;394.881;491.824;667.629
121;2.856;2.635;0;8.782;47.155;47.478;141.578;243.384;64.532;152.13;83.843;170.355;82.933;170.69;83.163;110.221;277.787;278.134;191.063;308.281;226.13;236.974;279.314;60.937;382.846;376.514;517.231;396.246;492.701;684.761
122;2.777;2.538;0;8.797;47.347;47.702;142.724;243.607;64.631;152.363;84.049;170.899;35.913;171.108;36.242;111.023;279.521;279.131;191.416;309.085;227.103;237.502;414.921;61.324;384.558;377.822;519.113;397.201;494.15;693.27
123;2.815;2.673;0;8.842;47.343;48.057;143.605;243.753;64.45;152.489;37.191;171.321;170.85;171.837;171.209;111.619;280.247;280.115;191.853;310.24;180.568;237.853;416.166;61.802;388.242;378.423;520.433;398.533;496.051;701.576
124;2.906;2.7;0;8.864;48.131;48.824;97.145;244.056;64.666;152.634;172.154;172.401;172.882;173.215;173.035;112.301;281.31;281.074;193.205;311.644;315.611;239.065;418.105;62.463;390.206;379.394;521.803;400.152;501.361;711.621
125;2.973;2.832;0;8.869;48.26;49.682;232.058;244.427;64.555;152.888;176.097;173.441;173.9;126.638;174.092;113.302;282.05;281.737;193.746;312.883;317.098;239.667;419.68;62.962;391.806;380.388;523.409;401.518;454.723;720.376
126;3.103;2.963;0;8.837;49.962;50.298;233.032;244.64;64.389;153.477;176.684;174.054;174.449;262.157;174.778;114.367;282.621;282.519;194.739;314.022;318.554;240.243;420.882;63.275;393.667;381.242;524.592;355.211;590.834;728.92
127;3.142;2.993;0;8.785;50.763;51.066;234.133;245.276;64.462;153.727;178.037;175.466;175.61;262.974;175.884;115.118;286.807;236.228;195.48;315.478;320.019;241.621;422.364;63.5;394.69;382.135;525.989;491.64;593.054;735.197
128;3.339;3.104;0;8.89;51.17;51.543;235.262;245.754;64.886;154.496;179.62;176.653;176.886;263.795;177.168;115.538;287.841;372.382;196.903;316.849;323.279;242.502;423.815;64.073;396.112;383.021;527.895;493.487;596.007;741.399
129;3.187;2.929;0;8.884;51.198;51.48;235.667;245.639;64.672;159.233;179.822;176.854;177.199;264.328;177.628;115.607;288.314;374.13;196.687;317.611;324.44;244.314;424.866;64.991;397.021;383.808;530.487;496.387;597.951;749.965
130;3.398;2.762;0;8.883;51.337;51.811;235.952;246.33;17.346;159.342;180.068;177.203;177.561;264.8;179.242;68.396;289.048;375.805;196.921;318.797;325.854;199.631;425.964;64.885;398.992;386.097;531.361;497.897;599.955;757.784
131;3.187;2.625;0;8.654;51.039;51.941;236.276;198.933;153.504;159.562;180.39;177.656;177.949;265.573;179.894;203.66;289.636;376.994;197.254;321.952;327.02;335.157;426.918;64.587;400.194;386.856;531.985;498.804;603.058;713.884
132;3.085;2.962;0;8.803;52.017;52.195;236.77;333.424;155.62;160.533;181.128;178.193;178.576;266.925;180.551;204.544;290.453;378.286;198.009;322.971;327.76;337.398;428.185;64.545;401.484;387.793;533.502;499.666;605.271;859.17
133;2.752;2.57;0;8.814;52.351;52.734;236.763;333.824;156.934;161.334;181.763;178.521;178.847;267.634;181.024;205.603;291.095;379.424;198.471;323.691;328.972;338.654;429.372;64.626;402.727;388.51;534.265;500.551;607.226;862.615
134;2.741;2.581;0;8.78;52.429;52.831;237.067;334.233;158.447;114.522;182.381;131.554;179.501;268.531;181.787;206.31;291.938;332.685;151.818;324.505;330.275;339.796;431.759;65.583;356.034;389.506;535.605;503.46;609.315;866.261
135;2.118;1.802;0;9.103;52.29;52.516;236.327;334.648;158.874;248.12;134.739;265.63;179.459;268.793;181.685;205.908;244.32;466.977;294.152;276.817;330.517;340.217;431.895;17.706;489.814;389.659;488.206;503.498;611.027;868.654
136;49.46;49.236;0;9.237;52.468;52.69;283.729;382.304;207.233;296.449;316.112;313.46;227.499;317.293;229.335;206.236;426.017;515.658;342.715;459.37;378.402;388.78;479.995;207.531;538.731;437.638;673.202;553.739;660.624;920.485
137;0.173;0;95.654;96.227;137.506;137.747;234.499;333.508;158.917;248.122;267.477;264.933;131.523;268.398;133.011;291.974;377.968;467.439;294.432;411.538;282.231;340.428;431.842;159.246;490.988;389.158;627.731;505.622;616.595;874.006
138;0.294;0;143.73;143.974;185.483;186.193;282.203;381.22;208.042;295.944;315.171;313.966;313.809;315.955;314.839;339.852;425.927;516.056;341.887;459.935;464.315;388.688;480.252;207.893;539.379;437.129;677.112;554.182;665.592;924.202
139;0.3;0;10.108;10.263;52.025;52.275;148.416;247.878;76.167;162.355;181.537;180.877;180.773;182.431;181.3;206.148;292.475;382.62;208.811;327.014;332.862;255.7;300.299;74.738;406.343;303.895;545.54;421.444;533.036;793.401
140;0;0.115;9.99;10.41;51.993;52.33;148.027;248.024;76.646;162.122;182.166;181.366;187.439;182.814;183.879;206.453;292.585;383.052;208.759;327.783;333.863;256.097;438.698;76.023;406.98;304.632;547.696;422.834;536.057;796.064
141;0;0.1;11.416;11.235;52.842;53.021;148.362;248.563;77.192;162.959;183.539;182.047;188.582;183.308;184.579;207.033;292.956;384.013;209.307;329.146;336.135;258.056;440.781;76.512;408.202;305.647;549.587;424.313;538.631;799.938
142;0;0.118;11.585;11.419;53.685;53.785;148.889;248.878;77.75;163.411;183.792;182.769;189.111;183.573;185.247;208.024;293.478;384.788;209.319;330.22;337.782;258.732;443.965;77.168;409.168;306.622;551.789;377.745;540.965;803.046
143;0;0.124;12.301;12.049;54.049;54.178;149.274;249.364;78.676;163.799;184.787;183.95;190.744;184.328;185.716;209.425;294.299;386.044;209.863;331.876;340.151;259.714;446.024;77.761;410.353;307.573;553.55;514.742;543.334;806.056
144;0;0.101;13.168;12.546;54.492;54.728;149.645;249.863;79.757;164.631;185.486;184.702;191.308;184.954;186.326;162.987;295.001;386.602;210.333;333.479;342.218;213.434;447.494;30.935;411.417;308.724;556.872;516.896;497.823;809.414
145;34.24;34.349;0.487;0;89.663;89.951;184.204;284.671;67.459;199.871;220.305;219.334;226.471;219.746;221.242;331.802;331.147;421.415;245.199;369.409;378.277;381.948;483.093;199.77;446.742;344.383;595.193;552.595;669.877;847.301
146;0;0.101;100.475;100.246;55.811;56.396;150.177;250.94;167.627;166.394;186.497;185.606;193.605;186.042;187.731;298.144;297.47;387.554;164.089;336.676;345.547;348.383;450.527;166.21;414.12;263.636;563.01;519.802;641.007;816.637
147;0;0.102;101.866;101.099;56.424;56.804;150.612;251.117;168.784;167.353;186.907;186.034;194.105;186.495;188.184;300.733;300.7;388.174;301.306;338.031;347.069;349.338;451.563;168.611;415.142;400.086;565.465;521.281;648.745;
148;0;0.1;103.725;102.796;56.776;57.152;151.223;204.09;169.843;168.119;187.282;186.484;194.462;139.368;188.958;301.204;301.508;388.493;303.021;291.497;349.066;350.346;452.81;169.113;416.303;403.437;566.83;522.339;653.521;
149;0;0.102;104.022;104.181;57.187;57.661;151.76;339.331;170.955;171.087;187.46;187.05;194.901;274.517;189.879;301.948;302.421;388.849;304.718;427.47;351.014;351.625;454.245;170.814;417.642;407.717;569.364;523.497;656.706;
150;0;0.159;105.178;105.307;57.738;58.203;105.11;340.645;171.676;172.233;188.034;187.589;195.545;275.993;190.799;302.522;303.044;389.449;306.625;429.503;304.884;353.593;407.645;171.947;419.394;412.517;571.387;524.424;659.526;
151;0;0.13;105.518;105.65;58.442;58.735;240.779;341.547;173.368;173.693;188.457;187.954;195.904;277.214;191.641;302.852;303.426;390.019;308.116;430.821;440.281;355.172;544.418;172.977;421.578;417.853;524.761;525.513;665.067;
152;0;0.111;105.989;106.092;58.916;59.372;241.602;342.317;174.776;174.392;189.046;188.503;196.473;278.2;193.385;303.392;303.996;390.623;309.531;432.111;441.943;356.796;547.265;174.153;374.97;373.01;661.988;527.404;668.615;
153;0;0.1;106.211;106.322;59.517;59.907;242.327;343.043;175.354;174.889;189.615;189.222;197.217;279.066;194.062;303.763;304.521;391.17;310.914;433.529;443.153;357.877;549.034;174.748;510.177;519.687;664.266;528.807;672.799;
154;0;0.102;59.335;59.467;60.16;60.47;243.882;343.754;175.999;175.571;190.454;190.259;197.796;279.983;194.93;304.092;257.845;391.867;312.419;434.881;444.219;359.249;550.835;175.468;512.271;523.998;666.577;530.237;677.262;
155;0;0.101;193.952;194.199;60.62;61.049;244.241;344.547;176.417;176.084;190.941;190.683;198.338;280.668;196.232;304.551;393.335;392.623;313.649;435.555;445.506;360.378;552.535;175.679;515.421;525.569;668.575;531.766;679.744;
156;0;0.099;194.788;194.937;61.274;61.635;244.82;345.358;176.698;176.454;191.527;191.223;198.888;281.49;197.018;305.07;394.9;393.247;267.092;436.199;446.542;361.504;554.43;175.894;516.371;527.774;670.065;485.377;682.848;
157;0;0.104;195.299;195.647;61.906;62.094;245.447;345.898;177.08;176.936;191.823;191.576;199.403;282.105;150.29;305.8;396.201;393.972;413.659;437.19;447.731;362.689;555.805;176.501;518.196;529.291;671.766;621.13;685.515;
158;0;0.1;195.936;196.127;62.286;62.462;245.928;346.499;177.395;177.122;192.298;191.909;200.347;282.667;285.754;305.897;397.267;395.088;415.372;438.111;448.783;316.367;557.287;176.921;520.227;530.705;673.261;622.476;690.237;
