Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
109;1.505;0;8.991;51.346;52.955;52.337;77.697;71.558;93.391;98.112;92.365;166.225;297.545
110;1.361;0;9.616;52.304;53.604;53.467;77.996;71.949;94.97;98.613;94.37;166.937;299.378
111;0;3.517;13.1;56.127;57.662;57.977;81.853;75.959;99.592;102.396;99.209;171.655;304.503
112;0;2.989;12.664;55.668;57.625;57.837;81.646;75.809;100.122;102.861;99.757;171.59;304.507
113;0;2.708;12.44;55.64;57.568;57.968;81.601;75.844;101.012;102.958;100.736;171.875;307.375
114;0;2.481;12.046;56.162;57.507;57.815;81.756;75.958;101.721;102.771;101.881;172.923;309.16
115;0;2.412;12.2;55.987;58.073;57.925;82.038;76.059;102.51;102.881;103.136;173.802;311.184
116;0;2.287;12.197;56.291;58.328;58.565;82.564;76.114;104.946;103.957;104.371;174.239;314.337
117;0;2.249;12.204;56.593;58.761;58.936;83.021;76.564;106.359;112.234;105.067;174.863;316.273
118;0;2.104;12.076;56.528;59.088;59.259;83.295;77.049;106.997;113.806;106.095;175.313;317.912
119;0;1.888;11.812;56.67;59.558;59.855;83.567;77.476;107.961;114.599;106.966;175.851;319.364
120;0;1.719;11.75;56.862;59.813;61.781;84.129;77.911;108.999;115.167;107.728;176.549;321.008
121;0;1.76;11.748;57.171;60.155;62.056;84.743;78.495;109.765;116.55;108.955;177.429;323.132
122;0;1.534;11.581;57.365;60.36;62.388;85.178;76.503;110.622;117.077;109.542;178.27;325.056
123;0;1.399;11.566;57.536;60.518;62.573;85.542;79.164;111.367;117.81;110.377;179.609;327.021
124;0;1.391;11.664;57.754;60.631;62.759;85.85;81.129;112.081;118.886;111.128;180.683;329.236
125;0;1.356;11.432;57.878;61.11;62.836;86.352;82.89;112.739;120.046;112.056;197.075;331.22
126;0;0.998;11.073;57.922;61.089;63.06;86.599;83.888;113.322;120.519;112.696;201.248;332.807
127;0;0.857;10.897;58.293;61.193;63.366;87.135;85.276;114.006;121.643;113.62;204.336;334.844
128;0;0.692;10.925;58.537;61.209;63.673;87.667;86.107;114.811;122.357;114.946;209.442;337.009
129;0;0.718;11.147;59.023;61.682;64.019;88.094;87.532;116.02;123.254;116.293;213.298;339.332
130;0;0.764;11.157;59.362;62.037;64.201;88.674;89.304;116.833;124.16;117.011;215.636;341.62
131;0;0.575;11.102;59.911;62.31;64.29;89.056;90.295;118.213;125.257;117.817;217.59;343.974
132;0;0.405;11.062;60.231;62.425;64.494;89.579;91.004;118.897;126.458;118.632;219.13;345.786
133;0;0.12;10.966;60.372;62.534;64.797;89.901;91.284;119.488;127.543;119.186;220.973;348.232
134;0;0.063;11.001;60.748;62.637;65.381;90.652;92.221;120.351;128.668;120.049;224.595;350.456
135;3.822;0;14.782;64.888;66.717;69.949;94.917;96.776;124.974;133.469;124.783;229.572;356.534
136;2.56;0;13.537;63.854;65.576;69.232;94.041;96.188;124.458;132.769;124.144;229.615;357.843
137;2.052;0;13.134;63.689;65.527;69.438;94.221;96.639;124.878;133.546;124.393;231.616;359.408
138;1.746;0;12.595;63.558;65.364;69.65;94.162;96.941;125.29;133.905;124.975;232.29;361.088
139;0;3.071;15.474;66.625;68.423;72.975;97.491;100.582;128.91;137.013;128.623;237.102;367.873
140;0;2.727;14.72;66.288;67.991;72.979;97.22;100.982;129.502;136.659;129.191;238.154;369.341
141;0;2.897;14.527;62.499;68.264;68.716;97.565;101.705;126.177;137.233;130.112;239.824;371.363
142;0;3.129;14.6;63.497;68.499;70.125;97.866;102.138;127.592;138.045;131.168;241.487;373.809
143;0;3.488;14.538;63.847;68.952;70.812;98.383;102.937;128.95;135.786;131.927;243.468;375.865
144;0;3.833;14.471;64.084;69.243;71.278;94.526;103.852;129.736;137.848;132.88;244.888;377.25
145;0;4.084;10.114;64.066;69.1;71.654;95.478;104.528;130.258;138.631;129.464;246.079;378.92
146;0;4.254;11.724;63.977;65.561;72.204;95.82;105.048;131.27;139.574;131.077;247.776;381.177
147;0;0.402;12.822;64.033;66.944;72.651;96.239;106.025;131.866;140.167;132.67;249.085;383.508
148;0;0.854;13.367;63.933;67.829;72.962;96.399;106.726;132.417;140.842;133.842;250.305;385.555
149;0;0.918;13.765;64.049;68.456;73.394;96.525;107.451;132.829;141.803;135.007;251.425;387.384
150;0;1.078;14.279;64.215;69.3;74.217;96.846;108.719;133.949;142.819;136.132;254.933;389.439
151;0;1.062;14.479;64.249;69.76;74.594;96.97;109.983;134.289;143.801;137.385;255.734;391.352
152;0;1.068;14.815;64.07;70.573;75.028;97.097;110.914;134.539;145.09;138.547;257.063;393.128
153;0;1.09;15.267;64.18;71.256;75.344;97.532;111.415;135.082;146.06;140.066;258.136;395.928
154;0;1.156;15.638;64.25;71.937;75.763;98.178;111.972;135.397;146.676;140.883;259.682;397.996
155;0;0.82;15.603;63.919;69.067;75.678;98.127;112.444;135.385;146.919;141.396;260.95;399.728
156;0;0.57;15.702;63.832;70.285;75.818;98.127;112.899;135.37;147.527;142.173;262.255;401.718
157;0;0.449;15.983;63.837;70.798;76.173;98.283;114.26;135.46;148.189;142.848;262.946;404.382
158;0;0.475;16.228;63.923;71.349;76.498;98.529;114.813;135.815;148.758;143.701;265.682;405.832
159;0;0.377;16.463;63.878;72.088;77.02;98.806;112.595;136.076;149.585;144.592;267.387;408.8
160;0;0.225;16.803;63.975;72.692;77.541;98.988;113.773;136.354;150.66;145.673;269.18;409.616
161;0.031;0;17.307;63.999;73.263;77.81;99.257;114.195;136.77;151.504;146.78;271.469;412.058
162;0.218;0;13.732;64.309;74.09;78.175;99.62;114.599;137.122;152.329;147.959;273.077;414.3
163;0.49;0;14.983;64.665;74.759;78.612;99.937;115.403;137.538;150.666;150.19;275.67;417.705
164;0.569;0;15.516;64.641;75.339;78.969;100.047;115.966;137.909;152.029;151.07;277.029;419.929
165;0.641;0;16.218;64.829;76.07;79.617;100.446;116.64;138.855;153.182;152.113;280.03;421.72
166;0.653;0;16.457;65.008;76.562;80.057;100.957;117.335;139.497;155.185;153.19;281.638;423.57
167;0.71;0;16.842;65.122;76.966;80.346;101.15;117.807;140.233;156.099;154.213;283.135;425.291
168;0.85;0;17.333;65.112;77.481;80.776;101.491;118.197;140.746;157.471;155.601;284.69;427.566
169;1.072;0;17.766;65.18;78.045;81.397;101.67;118.745;141.116;158.136;156.621;286.203;429.663
170;1.346;0;18.207;65.465;78.818;82.017;102.084;119.586;142.04;158.813;157.941;287.941;431.208
171;1.54;0;18.64;65.717;79.678;82.688;102.345;120.248;142.708;159.43;159.285;289.465;432.968
172;1.866;0;19.132;65.959;80.327;83.279;102.624;120.693;143.433;160.753;160.287;291.575;435.335
173;2.033;0;19.593;66.181;81.041;84.024;103.252;121.141;143.908;161.679;161.316;293.035;437.924
174;2.19;0;20.07;66.472;81.716;84.399;103.449;122.009;144.401;162.907;162.572;294.361;439.689
175;6.363;0;24.521;70.647;86.337;88.913;104.061;126.575;148.68;168.135;167.791;300.19;445.33
176;5.65;0;19.088;65.128;82.722;83.97;104.357;126.174;144.342;168.068;166.27;297.602;446.252
177;1.111;0;19.667;66.581;83.285;85.051;104.715;126.492;145.981;169.234;167.836;299.691;447.299
178;2.375;0;20.149;67.674;83.388;85.844;105.024;123.528;147.096;169.811;168.774;300.717;448.564
179;2.518;0;19.815;67.889;83.018;85.878;105.207;124.449;147.769;169.92;169.326;301.558;449.402
180;0;1.376;21.2;65.482;84.496;87.986;106.928;126.123;150.027;172.282;171.214;304.057;452.046
181;0;0.921;20.699;65.832;84.14;87.955;106.665;126.266;150.555;172.44;171.497;306.178;450.718
182;0;1.036;20.901;66.309;83.99;88.631;107.01;126.844;151.429;173.228;172.102;307.372;453.934
183;0;1.152;21.243;66.894;84.202;88.961;107.587;127.445;152.674;173.984;172.783;309.054;455.944
184;0;1.016;21.418;67.096;84.034;89.852;107.811;127.876;153.716;175.103;173.638;310.393;457.61
185;0;0.894;21.592;67.328;84.337;90.261;107.938;128.411;154.629;175.961;174.543;311.698;460.494
186;0;0.822;21.712;67.834;84.394;90.428;108.425;129.449;155.617;176.663;175.097;313.497;462.332
187;0;0.672;21.981;68.044;84.386;90.557;108.894;130.47;156.247;177.354;175.574;314.493;464.969
188;0;0.738;22.294;68.587;84.564;90.687;109.376;131.52;157.219;178.054;176.212;315.448;466.612
189;0;0.994;22.466;69.029;84.893;91.264;109.782;131.886;153.829;178.395;176.935;316.469;468.264
190;0;1.023;22.595;69.464;84.831;92.021;110.13;132.158;155.314;180.055;177.712;317.821;470.083
191;0;0.839;22.528;69.828;84.565;92.387;110.293;132.677;156.312;180.566;178.798;319.046;471.849
192;0;0.81;22.678;65.262;84.613;92.87;110.553;133.222;157.165;181.465;179.603;320.453;475.109
193;0;0.685;22.66;66.366;84.681;93.217;110.886;133.738;157.973;181.937;180.673;322.027;477.182
194;0;0.542;22.595;67.09;84.606;93.446;111.241;134.601;158.224;182.407;181.339;322.908;480.274
195;0;0.455;22.505;67.701;85.123;89.529;111.294;134.549;158.574;179.38;181.76;323.498;482.775
196;0;0.427;22.485;68.368;85.417;90.062;111.463;134.808;159.395;181.108;182.435;324.521;484.595
197;0;0.518;22.727;68.86;85.951;90.48;111.813;131.75;159.827;182.178;183.688;325.488;487.047
198;0;0.522;22.82;69.74;86.195;90.894;112.175;132.531;160.221;183.006;184.599;326.358;488.906
199;0;0.451;23.046;69.895;86.538;91.16;112.414;132.961;160.512;183.926;185.517;324.814;490.675
200;0;0.43;23.149;70.235;86.451;91.412;112.741;133.534;161.101;184.358;186.482;326.682;493.089
201;0;0.399;23.192;70.514;86.387;91.756;113.026;133.843;161.477;184.678;187.311;328.125;494.743
202;0;0.296;23.467;71.069;86.776;92.241;113.702;134.413;162.038;185.27;188.536;329.399;497.04
203;0;0.294;23.69;71.422;86.904;92.976;114.053;134.904;162.771;186.079;189.504;331.211;499.374
204;0;0.018;23.916;71.855;86.956;93.234;114.249;135.324;163.468;186.601;190.406;332.175;501.258
205;0.205;0;24.2;72.407;87.251;93.541;114.581;136.019;164.128;187.538;191.355;332.8;503.087
206;0.401;0;24.513;72.804;87.381;94.237;114.942;137.228;164.912;188.555;192.217;333.44;505.479
207;0.306;0;24.699;73.15;87.731;94.456;115.03;137.564;165.381;188.708;192.633;335.08;508.063
208;0;0.246;24.473;73.251;87.338;94.218;114.702;137.646;165.497;188.993;192.793;335.164;508.118
209;0;0.237;24.448;73.573;87.091;94.467;114.733;137.804;165.976;189.537;193.51;335.705;511.701
210;0;0.322;24.533;74.088;87.9;94.972;114.93;137.997;166.439;189.857;194.496;336.589;513.768
211;0;0.39;25.05;74.985;88.14;95.361;115.234;138.416;167.094;190.586;195.492;337.508;515.574
212;0;0.267;25.03;75.33;87.883;95.398;115.194;138.619;167.544;191.138;196.136;338.256;517.39
213;3.968;0;29.182;80.017;91.91;99.782;115.225;142.972;172.005;195.809;196.643;343.427;523.606
214;3.901;0;25.31;76.458;88.243;99.861;112.513;143.023;168.398;196.492;198.588;343.679;526.595
215;3.972;0;26.007;77.558;89.674;94.601;113.471;143.18;169.828;197.203;199.911;344.442;528.467
216;4.11;0;26.196;78.088;90.917;96.019;113.801;143.731;170.959;197.785;201.348;342.8;531.436
217;0;0.445;26.677;79.153;88.885;97.46;114.691;140.745;172.691;196.118;203.023;345.393;533.797
218;0.073;0;26.411;79.205;90.285;97.726;114.674;142.048;173.148;197.715;203.543;345.923;535.842
219;0.239;0;26.588;79.834;91.028;98.337;115.115;143.192;174.314;198.823;204.888;347.047;537.854
220;0.458;0;26.605;80.557;91.779;99.19;115.633;144.304;175.379;199.957;206.182;348.32;540.412
221;0.645;0;26.636;81.091;92.422;100.053;116.009;145.379;176.635;200.799;207.326;349.112;542.061
222;0.734;0;26.742;81.697;93.205;100.896;116.333;146.568;177.448;201.99;208.451;350.448;544.333
223;0.867;0;26.841;82.343;93.954;101.839;116.733;147.428;179.668;203.007;205.144;351.683;546.581
224;1.175;0;26.862;82.861;94.478;102.515;117.233;148.233;180.631;203.655;207.109;352.537;548.645
225;1.31;0;26.963;83.577;95.163;103.108;117.943;149.328;181.443;204.825;208.494;353.456;551.347
226;1.298;0;27.033;79.442;95.607;103.482;118.169;149.872;182.21;205.839;209.895;355.211;553.606
227;1.543;0;27.119;80.569;96.27;104.662;118.634;150.42;183.349;207.001;211.003;356.636;555.853
228;1.571;0;27.198;81.108;96.982;105.307;119.007;151.136;184.512;208.123;212.344;357.521;558.106
229;1.757;0;27.137;81.725;97.269;101.468;119.858;151.765;185.507;209.51;213.962;358.716;559.824
230;1.735;0;27.133;82.877;97.72;102.901;120.646;152.981;186.691;210.276;215.326;359.526;563.029
231;1.981;0;27.396;83.717;98.426;103.681;121.356;153.473;187.595;211.348;217.24;361.642;565.085
232;2.192;0;27.72;84.268;98.88;104.52;121.735;154.289;188.335;212.532;218.423;362.688;567.571
233;2.291;0;27.883;85;99.387;105.161;122.414;154.868;185.874;213.645;216.344;363.545;569.823
234;2.5;0;28.112;85.801;99.889;105.812;122.985;155.558;187.598;214.326;217.783;364.339;572.377
235;2.563;0;28.086;86.633;100.454;111.48;123.486;156.327;189.195;215.066;219.194;365.295;574.641
236;2.625;0;28.191;87.339;101.016;112.821;123.961;153.929;190.505;215.785;220.132;366.015;576.878
237;2.732;0;28.518;88.059;101.707;113.77;124.205;155.734;187.476;216.611;221.053;366.951;579.825
238;2.899;0;28.598;88.864;102.401;114.713;124.57;157.21;188.978;217.562;221.985;367.894;582.095
239;2.994;0;28.633;89.433;103.114;117.028;124.806;158.284;189.745;213.94;222.637;367.794;586.448
240;3.063;0;28.755;90.044;103.678;117.887;125.68;159.144;190.822;215.994;223.324;371.046;587.679
241;3.287;0;28.898;90.806;104.486;118.584;126.358;160.341;192.078;217.282;223.999;373.526;589.325
242;3.453;0;29.121;91.317;105.143;119.463;126.9;161.139;192.715;218.044;224.858;376.342;591.171
243;3.627;0;29.399;91.923;105.64;120.327;124.055;162.433;193.614;219.157;221.217;378.51;592.415
244;3.826;0;29.662;92.836;106.107;121.368;125.848;163.539;194.588;220.28;223.06;380.313;593.87
245;4.046;0;29.905;93.269;106.925;121.905;126.845;164.319;195.266;221.228;224.292;381.973;595.611
246;4.035;0;29.959;93.822;107.671;122.437;127.621;165.042;195.801;222.418;225.523;383.572;597.29
247;4.132;0;30.505;94.38;108.326;123.196;128.743;165.736;196.403;223.576;226.446;385.267;599.389
248;4.241;0;30.665;94.887;108.948;124.044;129.67;166.464;197.421;224.659;227.471;386.528;601.116
249;4.444;0;30.957;95.609;109.523;120.639;126.572;167.094;198.618;225.631;228.573;388.367;602.648
250;4.497;0;30.912;91.859;109.998;121.448;127.489;167.592;199.15;226.211;230.304;389.701;604.637
251;8.885;0;35.388;98.57;111.137;125.832;132.483;172.407;204.467;231.45;235.895;397.041;610.517
252;8.258;0;30.071;98.692;111.239;125.384;132.627;172.211;204.626;231.792;236.198;397.637;612.328
253;8.169;0;30.959;99.189;111.519;125.456;132.898;172.589;205.302;232.859;237.005;398.851;614.521
254;7.852;0;30.985;99.308;111.991;125.487;132.883;169.443;205.787;230.113;237.468;399.931;615.829
255;3.408;0;31.104;99.75;112.677;125.702;133.175;170.854;206.003;232.699;233.467;401.186;617.416
256;4.137;0;31.368;100.333;113.041;125.848;133.798;172.064;206.613;233.178;234.914;400.78;619.155
257;4.191;0;31.387;100.708;113.291;125.857;134.051;173.308;207.195;233.654;236.026;403.357;619.091
258;3.841;0;31.152;100.912;113.172;125.62;134.082;174.561;207.378;233.79;236.456;404.615;622.077
259;3.821;0;31.276;101.709;113.619;125.699;134.528;175.43;207.788;234.19;237.46;406.145;625.15
260;2.825;0;30.402;101.126;113.204;124.905;134.172;175.253;207.283;233.331;237.267;406.657;626.27
261;2.799;0;30.313;101.398;113.473;124.868;134.494;175.994;207.477;233.228;237.983;408.607;628.606
262;2.594;0;30.458;101.767;113.786;124.748;134.79;173.027;207.908;233.875;238.96;409.594;630.696
