Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
53;1.564;22.615;1.179;0;5.876;31.452;24.983;33.015;35.472;40.202;80.82;98.381;114.596;159.738
54;1.579;21.84;1.307;0;6.632;32.027;25.848;34.413;36.541;41.5;81.323;99.881;116.194;162.501
55;1.638;21.178;1.487;0;7.376;32.53;26.523;36.297;37.838;42.721;82.395;101.112;117.492;164.019
56;1.664;20.402;1.785;0;7.814;33.029;27.655;35.713;38.588;43.725;82.762;102.019;119.079;166.422
57;1.213;19.074;1.353;0;7.817;33.508;27.676;37.22;39.071;44.618;84.595;102.417;120.254;170.436
58;0.839;18.013;0.996;0;8.149;33.737;27.984;37.791;39.535;45.542;85.521;103.107;121.746;172.95
59;0.444;16.523;0.559;0;8.094;33.763;28.113;37.674;38.415;46.364;85.493;103.524;123.665;174.333
60;0.502;15.63;0.665;0;8.829;34.342;28.465;38.423;41.945;47.56;85.609;104.414;127.424;176.532
61;0.54;14.747;0.754;0;8.219;34.99;28.979;39.182;44.153;49.18;86.69;106.091;129.949;178.793
62;0.611;14.082;0.739;0;10.585;35.28;29.398;39.436;45.867;50.169;87.263;106.705;132.217;181.662
63;0.433;13.829;0.617;0;11.154;35.754;29.846;39.934;47.383;51.191;87.523;107.192;134.691;183.222
64;0.555;13.138;0.683;0;11.644;36.367;30.039;40.523;47.99;51.269;88.013;108.575;136.719;185.321
65;0.588;12.529;0.713;0;11.8;37.132;30.486;40.852;51.471;54.178;88.629;109.817;138.337;187.275
66;0.655;11.811;0.809;0;12.173;37.779;30.924;41.482;53.097;55.945;89.038;110.062;140.21;188.967
67;0.729;10.844;0.826;0;12.089;37.909;30.972;41.68;54.63;57.148;89.334;110.441;142.276;190.904
68;0.452;9.743;0.58;0;12.047;38.218;31.187;41.844;55.876;58.474;89.371;111.812;143.906;192.293
69;0.481;8.571;0.653;0;12.199;38.604;31.822;42.724;57.381;59.772;90.027;111.878;146.088;194.752
70;0.469;11.963;0.711;0;12.329;39.174;32.496;43.692;58.905;59.302;89.486;113.809;148.712;196.966
71;1.364;13.017;0.768;0;10.691;39.471;32.957;44.126;59.805;61.448;91.183;114.516;150.587;198.885
72;0.955;15.081;0.509;0;13.92;39.865;33.749;46.099;62.461;64.253;93.429;116.466;154.563;202.017
73;0.437;14.102;0;1.896;13.35;39.441;34.247;44.783;61.245;63.597;92.726;115.521;154.544;202.037
74;0.337;15.006;0;3.685;13.999;39.518;35.149;45.378;62.206;64.658;93.759;116.29;155.782;203.877
75;0.371;16.254;0;4.432;15.095;39.922;36.323;46.176;63.384;65.87;94.985;117.018;159.122;207.607
76;0.215;16.902;0;6.354;15.891;39.859;37.198;46.806;65.071;66.683;96.772;117.907;161.892;209.956
77;0.281;17.622;0;7.14;17.009;39.719;38.336;48.111;66.264;67.848;98.442;118.585;167.627;212.405
78;0.287;18.863;0;7.904;18.038;39.976;39.298;48.415;67.121;68.695;99.911;120.359;169.682;214.693
79;0.187;19.861;0;8.427;17.383;39.888;40.663;49.731;68.174;70.254;101.074;120.99;171.607;216.965
80;0.191;20.963;0;9.375;19.587;40.365;42.101;49.795;69.759;71.649;102.583;121.845;173.31;218.66
81;0.133;22.062;0;10.148;20.332;40.732;43.886;53.146;70.762;73.234;105.308;122.521;174.918;220.524
82;0.176;23.534;0;11.18;21.044;41.522;45.75;55.385;72.052;74.87;107.638;123.804;176.958;222.292
83;0.226;24.578;0;11.902;21.518;41.989;46.584;57.25;73.265;76.128;109.162;124.578;178.618;223.821
84;0.158;25.807;0;13.038;21.871;42.45;47.782;59.134;74.412;77.368;110.239;125.535;180.363;225.975
85;0.184;26.906;0;14.183;22.355;42.861;48.922;61.14;75.806;78.775;111.566;126.762;182.09;228.534
86;0.167;28.058;0;15.161;22.721;43.124;49.701;63.065;77.328;80.124;112.985;127.843;183.577;230.261
87;0.169;29.231;0;16.009;23.249;43.532;50.958;65.131;78.369;82.043;114.039;128.744;185.239;232.336
88;0.103;30.449;0;16.675;23.913;43.897;51.868;67.145;83.296;83.394;114.914;129.893;188.091;234.018
89;0.147;31.67;0;17.484;24.247;44.112;53.37;69.253;86.542;85.28;115.895;131.079;188.957;236.866
90;0.344;32.869;0;18.449;24.394;44.321;54.579;70.973;89.531;86.423;117.446;132.41;194.26;240.729
91;0.163;34.343;0;19.396;24.714;44.517;55.765;70.506;91.975;87.73;118.573;133.397;196.317;245.206
92;0.184;35.812;0;20.555;25.362;44.8;56.949;73.616;94.97;89.233;120.14;134.597;198.829;249.315
93;0.106;35.324;0;21.489;25.636;44.994;58.232;76.202;97.256;90.194;121.601;125.69;201.524;254.181
94;0.094;36.914;0;22.638;26.062;45.078;59.312;77.564;99.612;94.154;122.719;130.742;204.174;257.028
95;0.13;37.605;0;23.882;26.82;45.731;60.827;78.966;100.656;96.576;123.482;134.496;206.53;260.773
96;0.374;37.778;0;22.992;26.597;44.711;61.631;79.98;102.461;98.157;124.83;137.635;208.105;265.98
97;0.154;39.959;0;27.073;28.791;48.768;73.943;82.739;105.344;101.79;129.037;142.803;211.515;273.549
98;0;38.853;1.162;26.75;27.643;48.867;76.373;82.497;104.39;101.758;128.204;143.978;212.034;276.431
99;0;39.252;2.07;28.518;28.632;50.102;77.161;83.641;104.995;103.513;128.756;146.861;213.452;280.388
100;0;39.423;2.767;30.799;29.213;51.298;77.519;84.605;105.605;104.935;129.903;149.648;215.569;284.287
101;0;39.808;4.243;31.567;29.845;52.751;78.494;85.809;105.861;107.139;130.109;152.577;217.271;288.618
102;0;40.108;5.127;32.263;31.237;53.96;78.983;86.999;106.706;108.551;133.61;155.666;218.542;294.362
103;0;40.419;5.994;33.153;30.891;55.344;79.677;88.196;107.356;110.025;134.97;158.756;223.178;297.975
104;0;40.612;8.389;33.748;33.35;56.656;81.038;89.198;108.813;111.228;135.889;161.201;226.312;301.39
105;0;40.782;7.952;34.481;34.925;58.073;81.422;90.563;109.697;112.787;137.136;163.965;229.445;305.147
106;0;41.028;11.083;35.156;36.509;59.651;81.892;91.879;109.984;114.562;138.532;166.655;232.05;307.369
107;0;41.218;13.039;35.818;37.784;60.705;82.334;93.067;110.78;116.13;139.886;169.537;234.209;310.575
108;0;41.811;14.758;36.511;38.844;61.971;83.107;94.448;111.428;117.935;141.41;172.627;236.829;315.612
109;0;41.93;16.109;37.156;40.038;63.082;83.418;95.671;111.762;119.864;142.726;175.926;238.549;318.382
110;0;42.148;16.425;38.089;41.268;63.331;83.657;96.935;112.406;122.179;143.696;178.67;240.819;322.298
111;0;42.458;18.847;39.069;43.056;65.344;84.28;98.508;112.965;123.781;144.979;199.979;242.701;325.33
112;0;42.765;19.828;40.626;43.831;66.875;85.061;99.745;113.972;125.67;146.269;204.302;245.077;328.309
113;0;43.273;20.721;41.923;44.84;68.068;85.8;101.091;114.672;127.373;147.513;208.009;247.895;331.103
114;0;43.529;22.037;42.992;45.899;68.858;86.463;102.15;115.472;129.305;148.84;210.829;250.443;335.47
115;0;43.862;23.041;44.295;47.481;69.548;87.296;102.357;116.134;131.262;148.609;213.496;252.778;341.929
116;0;44.217;23.648;45.722;48.242;70.815;88;105.203;116.746;132.051;151.666;216.034;255.062;345.665
117;0;43.658;24.732;46.982;47.076;71.606;89.032;106.816;117.687;135.281;153.98;218.816;302.123;348.985
118;0;47.917;24.119;47.995;50.487;72.306;89.869;108.471;118.739;137.103;155.956;221.827;306.08;351.293
119;0;50.673;26.53;48.859;61.333;72.977;90.389;109.863;118.252;139.185;157.559;224.528;310.071;354.597
120;0;53.278;27.899;50.858;63.272;73.908;89.43;111.307;121.052;140.771;159.738;226.715;312.359;357.521
121;0;57.385;30.909;53.885;65.769;76.904;94.044;114.431;124.408;144.181;163.183;231.011;317.277;362.369
122;0;56.89;29.323;52.389;63.811;75.311;93.336;113.119;123.193;143.028;162.207;230.718;315.996;362.636
123;0;57.393;28.844;51.641;62.654;74.592;93.528;112.861;123.229;142.522;162.74;231.132;315.933;363.736
124;0;57.396;28.091;50.791;61.601;73.384;93.084;113.273;122.973;141.994;162.788;233.455;317.086;364.776
125;0;57.469;27.462;49.841;60.454;72.704;92.492;113.045;123.241;142.353;163.16;233.969;317.35;366.141
126;0;58.367;27.507;49.485;60.094;72.618;92.905;113.292;123.436;143.02;163.958;235.437;317.954;368.054
