Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
56;46.179;46.097;46.3;46.599;46.5;46.62;46.72;46.601;46.746;47.404;46.834;46.766;49.43
57;45.948;46.003;46.439;46.594;46.498;46.541;46.541;46.782;46.706;47.239;46.679;46.741;52.171
58;46.17;46.003;46.413;46.628;46.98;46.293;47.33;46.365;46.745;46.929;46.526;47.781;48.73
59;46.123;46.046;46.365;46.852;46.835;47.014;46.464;46.935;46.892;47.02;46.72;46.827;48.316
60;46.058;45.853;46.263;46.691;46.861;46.852;46.722;46.385;46.624;47.689;46.677;46.766;48.38
61;45.95;45.946;46.22;46.681;46.677;46.648;46.781;46.409;46.609;47.72;46.592;46.844;48.335
62;46.103;45.897;46.143;46.787;46.771;46.775;46.962;46.649;46.721;46.593;47.12;47.5;48.81
63;46.245;45.801;46.417;46.574;46.609;46.638;46.646;46.238;46.878;46.823;46.737;46.968;48.379
64;46.154;45.873;46.245;46.768;46.757;46.692;46.652;46.579;46.667;46.855;46.921;46.926;48.28
65;46.077;46.009;45.996;46.685;46.678;46.62;46.391;46.711;46.83;46.731;46.677;47.373;48.771
66;46.097;46.222;46.23;46.457;46.499;46.531;47.216;46.383;46.751;46.698;46.939;46.633;50.368
67;46.038;46.056;46.253;46.663;46.626;46.659;46.45;46.502;46.798;46.633;46.786;46.59;140.947
68;46.07;46.007;46.185;46.79;46.841;46.593;46.588;46.44;46.755;46.786;46.717;46.648;49.011
69;46.188;46.059;46.157;46.735;46.687;46.771;46.651;46.379;46.626;46.729;46.629;46.825;48.064
70;46.184;46.032;46.253;46.645;46.699;46.92;46.886;46.465;46.838;46.816;46.836;47.061;48.895
71;46.135;46.01;46.035;133.663;47.158;133.046;46.93;46.449;46.639;47.002;46.576;135.841;49.24
72;46.262;45.968;46.254;47.408;133.034;47.14;132.711;46.484;46.682;46.676;134.291;48.693;48.818
73;46.079;45.959;46.104;46.421;47.066;46.535;47.919;46.461;46.79;47.223;47.827;48.234;48.558
74;46.296;46.428;46.212;46.546;46.742;46.628;47.054;46.517;132.719;47.917;47.019;47.783;49.217
75;46.144;46.287;46.224;46.789;46.868;46.696;46.841;46.691;48.046;47.26;47.354;48.204;48.585
76;131.781;45.926;46.423;46.787;47.293;46.519;46.919;46.521;47.036;47.069;46.804;48.495;48.586
77;46.721;46.075;46.143;46.284;46.406;46.759;46.708;46.408;46.772;46.94;46.849;47.531;48.528
78;46.084;46.045;46.164;46.177;46.605;46.569;46.85;46.317;46.638;46.818;46.808;47.626;48.913
79;46.037;46.029;46.081;46.166;46.554;46.208;46.676;46.979;46.675;47.449;47.087;47.581;48.842
80;45.975;46.037;46.521;46.086;46.475;46.259;46.771;46.523;47.038;46.954;46.764;48.001;47.917
