Lap	Martin Putzer	Walter Stimpfl	Luciano Partacini	Matteo Impagnatiello	Davide Bonomi	Simone Pedrotti	Patrick Tschöll	Ronald Musa	Marco Masotti	Peter Stuffer	klocke marc	Federico Lanthaler	Matteo Traina	Michi Stuffer	Matteo Sannia	FERABOLI Nathan	Martin Jan Clemens	Hannes Krapf	Paolo Bagozzi	Axel Bianchi
37	240.672	0	246.29	147.863	149.858	154.441	149.432	273.593	167.938	296.093	173.83	291.668	181.515	313.497	282.13	196.184	327.456	228.428	218.136	
38	120.828	0	124.567	148.098	149.346	32.341	27.609	152.675	46.68	174.637	53.086	173.331	183.522	193.378	160.73	76.261	209.022	107.016	97.451	
39	119.309	0	123.608	148.481	150.12	31.209	148.366	153.012	46.118	174.636	53.238	174.166	185.116	193.887	160.085	77.001	211.319	106.283	97.358	
40	119.004	0	123.754	149.102	150.863	30.987	151.645	154.667	46.472	175.882	54.032	176.485	186.375	195.229	160.298	202.736	214.183	106.484	219.709	
41	119.333	0	124.423	149.988	151.573	31.213	153.926	156.257	47.73	176.935	56.003	179.602	188.1	197.167	161.139	207.052	216.371	106.678	223.038	
42	120.125	0	125.299	151.641	152.314	32.017	155.448	158.29	169.95	178.132	179.797	181.487	190.161	199.241	162.023	209.544	218.651	106.959	225.378	
43	120.556	0	125.879	153.909	153.48	31.849	156.92	159.604	173.259	179.119	183.036	183.341	192.195	201.196	162.631	211.907	221.275	107.2	228.16	
44	120.207	0	125.765	154.5	155.533	32.303	157.375	160.976	173.833	178.893	183.874	184.351	193.281	202.316	162.123	213.461	222.793	106.484	229.223	
45	120.882	0	126.528	155.053	156.414	34.483	159.079	163.542	175.542	180.176	185.623	186.548	195.73	204.537	163.645	218.076	225.386	107.363	231.691	
46	120.884	0	126.602	156.08	157.676	35.289	160.091	165.532	177.024	181.555	186.999	188.225	197.535	206.091	165.578	219.878	227.618	229.203	233.663	
47	121.288	0	126.947	156.593	158.253	156.241	160.989	167.357	177.894	181.703	187.828	189.742	199.171	207.529	166.935	221.55	228.797	232.106	235.363	
48	0.724	0	6.316	36.33	37.919	38.089	41.197	48.606	58.046	62.318	68.301	70.891	79.915	88.54	47.505	102.925	109.929	112.359	116.174	
49	0	0.17	5.389	35.434	36.853	36.959	41.577	49.263	58.029	61.639	67.995	71.486	80.466	88.87	46.614	102.948	111.532	111.787	116.652	
50	0	0.124	5.374	35.762	36.685	36.796	42.319	51.455	58.933	62.079	69.101	73.177	82.027	90.122	46.662	104.423	113.689	113.617	117.95	
51	0	0.113	5.366	35.543	36.272	36.398	43.434	52.981	59.654	62.327	70.023	74.789	83.557	91.4	46.818	105.792	115.325	114.473	119.126	
52	0	0.2	5.49	35.679	36.076	36.229	44.377	54.49	60.955	62.83	70.919	76.785	85.279	92.974	46.714	108.195	117.467	116.049	122.53	
53	0	0.105	5.364	35.608	35.784	36.344	45.291	55.882	62.129	63.377	73.475	81.402	91.015	100.022	47.055	117.649	128.918	133.038		
54	0	0.376	5.479	38.964	39.51	45.167	51.445	63.838							52.042					
