Lap	Martin Putzer	Walter Stimpfl	Luciano Partacini	Matteo Impagnatiello	Davide Bonomi	Simone Pedrotti	Patrick Tschöll	Ronald Musa	Marco Masotti	Peter Stuffer	klocke marc	Federico Lanthaler	Matteo Traina	Michi Stuffer	Matteo Sannia	FERABOLI Nathan	Martin Jan Clemens	Hannes Krapf	Paolo Bagozzi	Axel Bianchi
37	180.941	59.292	59.932	62.09	60.028	68.624	60.156	61.179	60.473	60.209	60.641	182.372	61.162	62.866	60.918	61.395	184.558	59.883	60.576	
38	61.781	181.625	59.902	181.86	181.113	59.525	59.802	60.707	60.367	60.169	60.881	63.288	183.632	61.506	60.225	61.702	63.191	60.213	60.94	
39	59.259	60.778	59.819	61.161	61.552	59.646	181.535	61.115	60.216	60.777	60.93	61.613	62.372	61.287	60.133	61.518	63.075	60.045	60.685	
40	59.418	59.723	59.869	60.344	60.466	59.501	63.002	61.378	60.077	60.969	60.517	62.042	60.982	61.065	59.936	185.458	62.587	59.924	182.074	
41	59.535	59.206	59.875	60.092	59.916	59.432	61.487	60.796	60.464	60.259	61.177	62.323	60.931	61.144	60.047	63.522	61.394	59.4	62.535	
42	59.93	59.138	60.014	60.791	59.879	59.942	60.66	61.171	181.358	60.335	182.932	61.023	61.199	61.212	60.022	61.63	61.418	59.419	61.478	
43	59.673	59.242	59.822	61.51	60.408	59.074	60.714	60.556	62.551	60.229	62.481	61.096	61.276	61.197	59.85	61.605	61.866	59.483	62.024	
44	59.757	60.106	59.992	60.697	62.159	60.56	60.561	61.478	60.68	59.88	60.944	61.116	61.192	61.226	59.598	61.66	61.624	59.39	61.169	
45	59.67	58.995	59.758	59.548	59.876	61.175	60.699	61.561	60.704	60.278	60.744	61.192	61.444	61.216	60.517	63.61	61.588	59.874	61.463	
46	59.605	59.603	59.677	60.63	60.865	60.409	60.615	61.593	61.085	60.982	60.979	61.28	61.408	61.157	61.536	61.405	61.835	181.443	61.575	
47	60.176	59.772	60.117	60.285	60.349	180.724	60.67	61.597	60.642	59.92	60.601	61.289	61.408	61.21	61.129	61.444	60.951	62.675	61.472	
48	59.995	180.559	59.928	60.296	60.225	62.407	60.767	61.808	60.711	61.174	61.032	61.708	61.303	61.57	61.129	61.934	61.691	60.812	61.37	
49	60.176	61.07	59.973	60.004	59.834	59.77	61.28	61.557	60.883	60.221	60.594	61.495	61.451	61.23	60.009	60.923	62.503	60.328	61.378	
50	59.934	59.888	59.919	60.262	59.766	59.771	60.676	62.126	60.838	60.374	61.04	61.625	61.495	61.186	59.982	61.409	62.091	61.764	61.232	
51	59.997	59.986	59.989	59.778	59.584	59.599	61.112	61.523	60.718	60.245	60.919	61.609	61.527	61.275	60.153	61.366	61.633	60.853	61.173	
52	59.823	59.91	59.947	59.959	59.627	59.654	60.766	61.332	61.124	60.326	60.719	61.819	61.545	61.397	59.719	62.226	61.965	61.399	63.227	
53	60.077	59.982	59.951	60.006	59.785	60.192	60.991	61.469	61.251	60.624	62.633	64.694	65.813	67.125	60.418	69.531	71.528	77.066		
54	61.163	61.434	61.278	64.519	64.889	69.986	67.317	69.119							66.15					
