Lap;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
0;0.241;1.08;0;9.568;5.56;1.878;5.802;1.271;2.736;1.383;8.232;6.468;2.747;6.357;7.381;5.832;6.115;3.57;4.444;8.538;6.11;28.449;28.73;22.502;8.211;6.057;7.844;9.993;29.367;9.258
1;67.103;66.369;66.83;66.149;69.866;67.566;66.522;66.374;67.07;66.427;67.617;67.62;67.698;68.85;69.159;66.855;67.236;67.085;66.493;68.645;68.765;69.403;68.496;65.946;68.889;69.64;70.488;68.505;68.033;68.835
2;65.144;65.361;66.169;65.562;66.761;65.682;66.643;65.596;65.451;65.862;66.341;68.317;65.234;67.549;66.552;66.019;65.74;66.488;65.944;67.404;68.14;67.478;66.659;65.853;66.643;66.924;66.772;67.176;66.85;69.368
3;65.245;65.043;65.096;65.336;66.015;64.78;66.306;65.204;64.885;65.106;67.738;66.339;65.011;68.294;68.369;67.654;65.95;65.196;65.086;66.886;66.489;66.394;67.443;65.5;67.717;66.739;67.873;66.715;66.779;69.491
4;65.421;66.478;65.418;66.365;65.758;65.184;65.51;65.284;65.132;65.364;65.351;65.879;65.29;65.982;67.664;65.68;66.086;65.234;65.338;67.914;65.488;67.769;66.871;65.06;67.809;65.473;67.002;68.053;66.741;68.626
5;66.511;65.528;65.372;65.298;65.683;65.496;65.239;65.318;65.047;65.326;65.412;65.609;65.078;65.425;65.405;65.481;65.399;65.334;65.813;66.391;65.459;65.725;65.844;65.246;65.83;65.503;66.069;66.443;66.528;68.263
6;65.503;66.177;65.219;65.051;65.415;65.292;65.265;65.66;65.564;65.377;65.569;65.449;65.436;65.446;65.394;65.516;65.224;65.506;65.398;17.796;65.669;66.998;65.445;65.658;65.472;65.591;66.987;66.878;66.048;68.115
7;65.29;65.53;65.59;65.216;65.477;65.987;65.005;65.318;65.795;65.378;65.615;65.421;65.478;65.749;65.166;65.355;65.422;65.239;65.372;204.198;66.372;65.709;65.353;65.997;66.118;65.613;66.429;66.313;65.64;67.92
8;64.798;64.43;64.716;64.765;65.422;64.963;65.072;64.674;65.293;64.763;65.135;65.503;65.108;64.994;65.394;65.369;65.567;64.987;64.936;67.268;65.074;65.223;66.011;64.929;65.311;65.272;65.725;66.118;65.635;67.654
9;64.676;64.46;64.725;64.719;65.318;64.898;65.878;64.768;64.938;64.658;65.387;65.626;65.392;65.212;65.253;65.101;65.524;64.732;64.731;66.438;65.034;65.636;65.324;65.664;65.672;65.193;66.059;66.214;65.651;68.003
10;64.542;64.446;64.641;64.572;65.277;64.35;65.199;64.655;64.44;64.601;65.172;65.212;65.029;64.945;65.054;65.62;65.516;64.719;64.858;66.52;65.194;65.493;65.331;64.748;65.672;65.155;66.238;66.373;65.557;67.813
11;64.63;64.341;64.584;64.658;65.013;65.436;65.114;64.639;64.628;64.703;65.297;65.28;64.604;64.754;65.038;65.05;65.111;64.469;64.707;66.089;65.338;65.098;65.372;64.747;65.667;65.394;66.025;66.686;65.85;67.616
12;64.761;64.832;64.8;64.637;64.909;64.558;65.09;64.73;64.589;64.719;65.896;65.65;65.094;65.555;65.104;65.075;66.253;64.369;64.599;66.38;65.395;65.505;65.6;64.823;66.504;65.4;67.133;66.412;67.579;68.197
13;64.561;64.537;64.527;64.653;64.939;64.788;65.323;64.543;65.101;64.568;65.308;65.284;64.607;65.162;65.603;65.229;64.947;64.599;64.641;65.715;65.252;65.402;65.748;64.546;65.467;65.383;66.04;66.522;66.452;68.103
14;64.583;64.541;64.379;64.382;64.925;64.944;65.353;64.557;64.616;64.587;65.562;65.535;64.459;65.206;65.377;65.132;65.491;64.524;64.655;66.075;65.049;65.423;65.41;64.416;65.293;65.745;65.795;66.225;66.355;68.801
15;64.429;64.462;64.378;64.357;64.78;64.384;65.061;64.535;64.661;64.455;65.197;65.5;64.448;64.844;65.187;65.598;65.312;64.531;64.612;65.8;65.127;65.288;65.637;64.432;65.267;65.099;66.013;66.015;65.965;68.018
16;64.562;64.565;64.633;64.557;65.073;65.022;65.419;64.539;65.019;64.51;65.714;65.428;64.973;65.948;65.185;65.457;65.022;64.849;64.586;65.764;65.196;65.623;18.117;64.766;65.176;65.632;67.383;66.201;66.132;67.981
17;64.731;64.754;64.352;64.48;65.222;64.609;65.336;64.686;64.732;64.777;65.279;65.523;64.616;65.221;65.425;65.172;65.814;64.642;64.575;65.939;65.255;65.441;184.346;64.676;65.717;17.419;17.938;66.05;66.371;18.656
18;64.611;64.606;64.504;64.375;65.552;64.518;65.232;64.687;64.5;64.578;64.858;64.935;64.551;64.767;65.188;66.058;65.753;64.566;64.481;65.599;65.213;65.654;67.668;64.551;65.499;203.173;208.092;66.601;66.14;212.684
19;64.6;64.578;64.267;64.396;64.858;64.53;65.391;64.612;64.418;64.603;64.554;65.165;64.472;64.559;65.429;64.83;65.07;64.432;64.542;65.497;64.92;65.687;67.078;64.438;65.691;67.872;69.337;18.311;18.545;72.538
20;64.772;64.705;64.521;64.41;64.846;64.25;17.584;64.619;64.389;64.708;64.61;65.267;64.386;64.763;65.174;64.785;64.812;64.336;64.565;65.293;64.819;65.463;66.516;64.29;65.406;66.75;68.606;203.465;202.153;71.956
21;64.65;64.692;64.43;64.491;64.998;64.732;199.84;64.659;64.667;64.683;64.916;65.564;64.686;64.806;65.22;64.911;64.819;64.75;64.604;66.114;65.132;66.036;66.35;64.721;65.762;67.056;67.195;67.107;68.523;70.974
22;64.739;64.776;64.344;64.221;64.795;64.42;65.182;64.767;64.391;64.783;65.019;17.552;64.431;65.126;17.576;64.808;65.079;64.335;64.812;64.995;64.718;65.354;66.208;64.433;65.203;67.058;66.911;66.101;69.544;71.24
23;64.658;64.642;64.48;64.559;64.768;64.613;65.959;64.738;64.578;64.698;64.681;199.172;64.617;64.779;199.514;64.755;65.123;64.756;64.769;65.272;64.902;65.476;67.458;64.592;65.515;66.934;66.923;66.021;67.212;74.203
24;64.926;64.944;64.286;64.339;65.039;64.419;65.143;64.905;64.442;64.872;64.742;66.33;64.29;64.768;65.926;65.055;65.248;64.296;64.802;65.336;17.29;65.604;69.443;64.385;17.575;66.537;66.656;66.417;67.788;70.263
25;64.6;64.582;64.505;64.465;64.743;64.244;65.534;64.61;64.268;64.562;64.632;65.689;64.315;64.621;65.518;64.86;65.282;64.276;64.862;67.16;202.359;18.085;66.465;64.323;201.273;66.288;66.391;66.495;67.453;69.698
26;64.913;64.497;64.662;64.673;64.851;64.446;64.743;64.635;64.491;64.759;18.1;65.605;64.733;17.635;65.552;64.708;18.194;64.551;65.358;66.475;67.566;180.553;65.489;64.358;68.214;66.655;66.246;66.888;74.847;69.48
27;65.681;65.72;64.273;64.277;64.794;65.78;65.029;65.881;65.594;64.562;200.692;65.871;64.663;199.709;65.414;64.943;199.815;64.848;64.516;65.317;66.682;66.036;18.432;66.541;67.287;66.099;67.17;65.993;68.315;73.304
28;18.345;18.313;17.241;17.211;17.677;18.215;65.12;18.076;19.17;17.527;67.027;65.57;65.574;65.494;65.143;17.933;65.487;18.357;17.634;65.385;66.889;66.272;199.649;18.132;67.336;66.321;66.944;66.008;66.747;71.537
29;198.998;199.097;198.257;198.739;198.7;201.114;64.882;198.92;201.099;197.729;66.039;65.383;17.535;65.781;64.824;198.595;65.645;195.864;201.613;65.092;65.903;66.097;65.639;181.203;67.648;66.457;67.299;65.701;68.371;71.509
30;65.297;65.105;65.129;65.325;65.003;65.143;64.611;67.231;65.632;65.158;65.513;65.97;199.405;65.286;65.207;64.966;65.326;64.989;66.992;65.055;66.283;65.902;65.816;65.206;66.537;66.397;69.379;66.282;66.707;20.921
31;64.614;64.801;65.01;64.807;65.645;65.142;64.665;65.942;64.833;64.912;65.351;65.36;64.841;65.149;65.432;65.484;65.252;65.034;66.103;65.365;18.078;65.891;65.691;65.272;66.501;66.17;66.577;68.061;66.966;205.797
32;64.478;64.499;65.337;65.583;64.569;64.932;64.602;66.715;64.953;65.052;65.002;65.004;65.155;65.409;64.998;64.634;65.863;65.326;65.934;65.398;200.27;65.877;65.783;65.007;66.359;66.709;66.165;67.065;66.505;67.934
33;64.464;64.441;65.111;64.918;64.446;65.563;64.417;65.353;65.145;65.01;65.262;65.662;66.167;64.76;65.645;64.395;65.046;65.034;66.086;17.618;66.234;66.009;65.746;65.12;66.799;17.947;66.386;66.469;66.736;66.905
34;64.396;64.36;64.749;64.568;64.632;64.996;64.667;65.135;65.221;64.664;65.148;65.015;65.14;64.909;65.184;64.697;64.92;64.984;65.817;201.902;65.471;65.659;65.801;65.069;66.559;201.746;66.619;18.261;68.006;67.245
35;64.315;64.392;64.681;64.782;64.613;64.922;64.718;65.264;64.868;64.721;65.023;65.209;64.851;64.905;65.496;64.723;65.232;65.594;65.54;65.362;65.325;65.519;65.52;64.922;66.508;65.758;65.565;201.435;66.081;67.463
36;64.24;64.156;64.469;64.742;64.459;64.833;64.359;17.846;64.809;64.27;64.936;64.714;64.974;64.649;64.66;64.318;64.881;64.83;65.46;65.172;65.6;65.61;65.226;64.794;66.552;65.751;17.816;66.629;18.955;68.224
37;64.382;64.4;64.71;64.611;64.435;64.716;64.407;199.41;64.68;64.53;64.829;64.484;64.914;64.685;64.564;64.349;64.981;64.884;65.418;65.404;65.345;65.887;65.308;64.762;67.476;65.426;202.897;65.735;204.892;67.507
38;64.288;64.354;64.725;64.421;64.487;64.578;64.445;65.303;64.698;64.339;64.824;65.295;64.885;64.773;65.288;64.562;65.161;64.886;67.704;65.45;65.859;65.833;66.18;64.6;66.988;65.265;67.63;66.195;68.071;66.494
39;64.092;64.093;64.679;65.125;64.295;64.578;64.563;65.021;64.791;64.672;64.45;65.306;64.917;64.876;65.351;64.298;65.268;64.934;65.765;65.246;65.031;66.679;65;64.724;69.709;65.253;67.662;66.73;67.56;67.906
40;65.104;65.098;64.689;64.591;64.48;64.559;64.298;65.481;64.618;64.495;64.351;65.03;65.129;65.041;65.067;64.448;65.051;65.052;65.382;65.25;65.328;65.508;65.423;64.752;66.858;66.467;67.663;65.432;67.719;66.435
41;64.095;64.098;64.654;64.477;64.194;65.104;64.15;65.118;65.03;64.326;64.592;65.473;64.843;64.791;65.452;64.143;65.089;65.785;17.862;65.06;65.524;65.639;65.192;64.821;66.697;65.067;67.337;65.092;68.559;66.813
42;64.324;64.297;64.48;64.35;64.363;64.695;64.326;64.977;64.768;64.589;64.785;65.112;64.904;64.946;65.155;64.328;17.667;65.023;99.577;64.845;64.964;65.413;65.452;64.617;20.083;64.811;66.878;67.33;67.013;67.699
43;64.392;64.304;64.269;64.239;64.074;65.446;64.233;64.908;65.225;64.431;64.672;64.978;65.011;64.844;65.044;64.245;200.512;66.289;65.92;65.192;65.527;65.812;17.921;64.933;200.686;64.765;68.949;66.131;68.152;68.22
44;64.497;64.615;64.617;64.627;64.335;64.659;64.396;64.672;64.934;64.48;64.552;64.908;64.772;65.033;64.831;64.273;65.769;65.033;65.406;65.559;65.073;18.038;199.496;64.619;66.976;65.816;66.837;65.771;66.811;66.775
45;64.201;64.131;64.318;64.366;64.249;64.631;64.308;64.787;64.852;64.211;64.645;64.686;65.46;64.708;64.623;64.537;65.671;65.219;65.224;64.746;65.345;200.664;65.387;64.688;66.146;65.531;66.67;66.021;67.995;67.233
46;64.18;64.206;64.802;64.779;64.335;64.543;17.32;64.765;64.832;64.597;64.951;64.773;64.618;64.841;64.769;64.583;65.403;64.876;65.326;65.253;65.044;67.387;65.657;64.606;66.532;64.926;66.491;66.227;66.475;66.978
47;64.179;64.188;64.525;64.612;64.888;64.719;199.065;64.908;17.741;64.979;64.691;65.005;64.654;64.874;64.977;64.595;65.326;67.423;65.964;64.889;65.262;65.448;65.071;66.484;65.807;65.72;66.651;66.249;69.823;67.401
48;64.09;64.115;64.577;64.431;64.395;64.536;65.127;64.688;199.61;64.23;64.763;64.766;64.766;64.792;64.736;64.5;65.074;64.945;65.278;65.769;65.195;66.196;65.043;64.881;65.803;65.232;66.397;65.364;70.687;66.887
49;64.291;64.266;64.408;64.418;64.293;66.486;64.6;64.737;66.033;64.207;64.582;64.591;64.522;64.631;64.681;64.436;65.357;65.293;65.23;64.925;65.142;65.904;64.776;64.786;66.325;64.965;68.858;65.643;67.973;66.69
50;64.049;64.053;64.323;64.374;64.35;65.293;64.738;64.837;66.17;64.071;64.555;17.305;64.986;65.306;64.473;64.524;64.971;64.577;65.7;64.656;65.389;65.886;65.07;64.918;65.608;65.106;18.492;66.04;67.704;66.73
51;64.125;64.081;64.24;64.83;64.342;64.559;64.571;17.417;65.015;64.047;65.332;198.832;64.748;17.96;17.169;64.855;65.453;64.539;64.985;64.889;65.321;65.919;65.3;64.434;66.134;64.837;200.328;17.96;66.907;66.52
52;64.337;64.376;65.261;64.855;64.546;65.066;64.395;198.748;64.958;64.483;64.947;67.076;64.919;199.045;198.708;64.72;65.404;65.072;64.954;64.838;65.199;65.424;65.065;64.887;65.689;65.156;66.181;200.578;66.281;66.631
53;64.248;64.217;64.262;64.257;64.367;64.325;64.674;65.572;65.191;64.226;17.381;66.027;64.969;65.809;65.208;64.699;66.186;64.382;65.54;65.153;65.05;65.711;65.228;64.576;65.748;65.351;65.519;66.992;66.604;18.294
54;64.324;64.303;64.196;64.236;64.369;64.44;64.845;64.965;64.861;64.369;198.365;65.735;64.711;65.385;65.177;64.586;64.576;64.382;65.142;64.659;65.089;65.598;65.161;64.417;65.591;65.286;65.35;66.9;68.196;204.145
55;64.509;64.462;64.646;64.945;64.084;64.432;64.658;65.068;64.941;64.615;64.905;65.43;64.737;64.702;64.685;64.918;64.842;64.47;64.846;64.857;65.096;65.526;65.285;64.48;65.89;65.082;65.605;66.333;18.953;69.287
56;17.032;17.165;17.045;17.209;17.474;17.694;64.7;64.964;64.815;17.327;65.337;17.664;17.718;65.127;64.458;17.638;64.683;17.609;64.792;64.732;64.932;65.095;65.042;17.69;65.542;65.374;65.411;65.641;199.824;69.6
57;198.689;198.671;199.084;198.079;198.655;199.247;64.403;65.196;64.369;210.631;64.949;197.475;209.071;65.026;64.404;198.444;17.691;200.499;65.173;64.923;65.251;65.631;64.885;199.026;17.994;17.628;65.855;67.904;65.686;72.252
58;65.111;64.741;64.677;64.291;64.369;64.68;64.229;65.645;64.37;65.697;64.768;64.871;65.182;64.729;64.664;64.738;199.103;65.515;64.961;64.767;17.604;65.422;65.297;64.923;199.874;199.495;65.316;66.721;65.556;69.385
59;65.396;65.72;64.547;64.961;64.601;64.549;64.585;65.207;64.717;65.921;64.862;64.746;64.645;64.848;64.45;64.617;65.182;65.34;65.03;64.943;199.72;65.41;65.125;64.462;67.174;66.647;65.024;17.927;65.632;68.855
60;64.331;64.36;64.13;64.157;64.422;64.51;64.504;65.204;64.631;65.694;64.733;64.845;65.037;64.814;64.566;64.484;65.601;65.617;64.923;17.611;65.356;65.76;64.86;64.397;67.648;66.416;65.048;200.909;65.355;72.005
61;64.241;64.239;64.261;64.211;64.315;64.215;64.791;65.115;64.823;66;64.6;64.726;65.059;64.648;64.429;64.842;65.49;64.699;64.706;199.822;66.183;65.336;65.087;64.351;66.007;66.089;65.039;65.556;65.312;71.674
62;64.344;64.373;64.318;64.347;64.352;64.346;65.197;65.256;65.03;65.434;64.804;65.007;64.868;64.787;64.79;65.24;64.999;65.114;64.983;65.905;64.968;65.368;65.027;64.341;66.259;66.59;65.501;69.019;65.507;69.405
63;64.105;64.044;64.072;64.041;64.484;65.611;64.782;65.137;65.042;65.488;64.836;64.726;64.936;64.898;64.644;66.776;64.958;64.995;64.958;65.516;65.432;64.948;65.221;64.624;65.88;66.811;64.95;66.55;65.566;70.828
64;64.183;64.213;64.121;64.175;64.774;64.792;64.486;65.082;64.699;65.251;64.896;64.763;64.594;65.041;64.499;64.951;64.738;65.15;64.826;65.096;65.16;68.969;65.132;64.865;66.202;66.588;65.296;66.622;65.315;69.149
65;64.137;64.112;63.941;63.94;65.736;65.099;64.47;65.372;64.856;66.18;64.616;64.937;64.805;64.412;64.459;64.734;64.817;65.018;64.84;65.207;65.274;65.284;65.488;65.43;65.894;66.441;65.008;65.234;65.402;69.461
66;64.039;64.08;64.411;64.247;64.291;64.259;64.333;65.055;65.192;65.166;64.445;64.954;64.736;64.358;64.444;65.016;65.096;65.186;65.044;65.756;65.904;65.095;65.3;64.6;65.602;67.089;64.943;65.179;65.861;70.626
67;64.115;64.143;64.022;64.187;64.362;64.481;64.419;65.151;64.602;64.806;64.389;64.89;64.844;64.467;64.65;64.481;64.785;64.932;64.858;65.477;65.773;64.722;64.795;64.244;66.118;66.145;65.145;65.391;65.566;72.311
68;64.075;64.073;63.82;63.822;64.457;64.365;64.504;65.155;64.469;64.885;65.116;64.86;64.89;65.088;64.399;66.921;64.752;67.044;17.687;65.293;65.904;65.225;17.875;64.52;65.524;66.019;17.741;65.238;65.936;69.322
69;63.979;63.979;63.982;63.946;64.343;64.359;64.499;65.067;64.514;64.977;64.419;64.823;64.575;64.484;64.663;64.961;65.124;65.458;198.515;17.548;65.047;17.827;200.225;64.376;65.892;66.488;203.345;65.377;65.334;70.667
70;63.989;63.908;63.968;63.833;64.365;64.285;64.556;66.015;65.219;65.187;64.675;64.938;64.724;64.542;64.198;64.976;64.931;64.961;65.789;200.494;65.263;200.377;66.097;64.32;66.105;66.665;67;65.27;65.269;69.651
71;63.988;64.039;63.916;63.985;64.306;64.495;64.842;65.736;65.019;65.265;64.412;64.862;64.652;64.486;64.213;64.872;64.682;64.852;65.598;66.661;64.792;65.644;65.645;64.467;65.756;66.383;66.762;65.924;65.504;69.859
72;64.041;64.063;64.137;64.075;64.451;64.319;64.739;17.73;65.351;64.918;64.565;64.965;64.467;64.585;64.635;64.79;64.876;64.779;65.132;65.269;66.226;65.78;65.558;64.334;66.552;67.213;65.752;66.372;65.278;70.643
73;64.249;64.211;64.298;64.417;64.548;64.469;64.643;199.192;64.712;65.042;64.437;65.161;64.558;64.372;64.37;64.868;65.099;64.952;64.935;65.359;65.329;65.618;65.162;64.455;67.636;66.707;66.823;65.789;64.905;71.039
74;64.147;64.168;64.44;64.354;64.131;64.386;17.391;65.429;65.225;66.3;64.49;64.961;64.618;64.438;64.348;65.226;65.017;65.133;65.117;65.331;65.644;65.701;65.579;64.275;65.886;65.974;66.548;65.808;65.002;70.627
75;64.337;64.297;64.568;64.642;64.281;64.504;199.427;65.559;17.469;65.322;64.569;64.991;64.76;17.355;64.252;64.652;64.991;64.698;65.302;65.388;66.347;65.629;65.588;64.345;66.912;66.511;66.212;65.689;65.075;69.928
76;64.001;64.02;63.918;63.975;64.42;64.364;65.119;66.695;200.252;65.714;64.632;64.901;64.426;204.151;64.538;64.787;65.06;17.478;65.053;65.283;67.2;65.5;65.687;64.377;66.116;66.753;65.607;65.925;65.198;70.448
77;63.969;63.996;64.065;64.035;64.226;64.395;65.044;65.546;65.879;66.691;64.908;64.844;64.951;65.509;64.643;65.046;17.438;217.127;65.471;65.436;65.81;65.192;65.08;64.206;18.123;66.152;66.098;65.975;65.13;69.699
78;63.974;63.939;63.943;63.971;64.616;64.367;65.049;66.218;65.497;65.274;17.886;64.722;65.186;65.415;64.88;65.685;199.395;66.24;65.401;65.102;18.388;66.619;65.46;64.511;198.943;17.419;65.857;18.232;17.763;19.33
79;63.868;63.89;63.995;63.859;65.806;65.611;65.098;64.847;65.855;17.773;199.648;64.487;64.719;65.368;17.565;64.755;65.502;65.507;65.029;65.175;199.895;65.061;65.501;64.36;65.622;199.06;66.101;200.447;200.845;288.963
80;64.207;64.132;64.048;64.17;66.117;65.6;64.918;64.632;66.685;201.845;66.118;65.245;64.812;65.134;210.197;64.913;66.652;66.042;65.715;64.992;65.732;65.191;65.307;64.701;66.119;66.017;65.85;68.741;66.622;69.173
81;64.152;64.257;64.054;64.041;64.923;64.842;65.485;17.381;64.975;65.261;65.949;64.681;64.639;65.112;64.965;64.557;65.696;65.134;65.385;65.205;66.05;64.998;65.254;64.644;66.064;65.668;66.396;68.501;67.657;67.322
82;64.186;64.179;64.079;64.056;64.65;64.588;65.147;199.733;65.351;64.828;65.43;17.598;64.571;65.094;65.333;64.48;65.442;17.568;65.481;65.182;65.876;65.444;68.296;64.709;65.82;65.755;65.72;66.289;66.327;67.631
83;63.989;63.948;64.211;64.081;64.855;64.846;64.945;65.545;66.078;65.326;65.186;198.938;64.507;64.924;65.323;64.717;65.447;199.735;65.177;65.431;65.444;65.148;64.906;64.44;66.453;65.768;66.698;66.847;67.354;66.56
84;17.103;17.143;16.999;17.082;17.435;17.494;64.838;64.882;64.97;65.139;65.886;65.235;17.547;65.317;65.545;17.78;66.003;65.723;64.963;65.044;66.188;65.823;64.696;17.202;67.246;65.831;17.878;66.25;67.025;67.173
85;198.145;198.039;198.274;198.16;198.804;198.833;64.885;64.679;65.384;65.111;65.248;65.39;217.409;65.048;65.212;252.369;65.703;65.541;65.187;64.75;65.491;64.925;64.992;200.432;67.169;65.633;205.568;66.348;66.239;68.033
86;64.901;65.31;64.937;65.395;65.224;65.778;64.955;65.02;65.084;64.606;64.977;65.953;65.659;65.136;64.829;65.322;65.506;65.525;65.462;65.292;65.339;65.008;65.008;66.005;65.217;65.698;66.859;66.317;66.059;67.415
87;64.584;64.525;64.659;64.666;64.886;64.898;64.727;66.468;64.655;64.691;64.88;65.236;65.619;17.671;64.702;64.749;67.283;65.524;65.184;64.934;65.204;65.117;65.332;65.696;65.317;65.755;66.176;66.506;66.214;67.594
88;64.668;64.643;64.457;65.188;65.326;65.513;64.762;65.189;65.151;65.197;65.379;65.156;65.621;200.019;65.416;64.973;66.817;65.912;64.89;64.944;65.211;65.381;64.783;66.922;65.28;65.635;65.823;66.951;67.276;67.152
89;64.209;65.095;64.596;65.184;64.857;65.064;64.729;64.709;64.972;64.934;64.799;65.261;65.339;66.029;65.17;65.71;64.916;65.571;65.321;64.753;65.414;65.301;64.878;65.116;65.171;65.658;65.791;66.027;67.684;66.521
90;64.582;64.516;64.583;64.401;65.149;64.848;65.268;64.987;64.905;64.937;64.887;64.9;65.501;65.528;64.953;64.507;65.724;65.65;65.353;64.695;65.22;64.979;65.054;66.606;65.305;65.308;66.037;66.165;66.152;66.633
91;64.718;64.251;64.723;64.539;64.82;64.783;64.569;64.832;65.261;65.278;64.824;65.252;64.751;65.35;64.957;64.45;65.244;65.893;64.736;65.192;65.651;65.482;65.125;65.875;65.518;17.212;65.418;65.896;67.095;67.555
92;64.59;64.274;64.538;64.403;65.136;64.983;17.365;64.733;65.56;64.978;64.765;65.29;64.882;65.374;65.101;64.647;65.339;17.923;64.748;65.09;65.233;18.174;65.088;65.655;65.82;201.707;65.396;65.596;66.012;66.637
93;64.383;64.363;65.152;64.402;64.779;64.969;199.769;64.665;64.98;65.022;65.067;65.167;65.233;65.257;65.034;64.557;65.253;200.146;65.138;65.118;65.053;201.285;65.49;65.723;65.442;67.557;65.369;65.438;66.137;66.049
94;64.222;64.259;64.061;64.02;64.707;64.656;66.625;64.78;64.779;64.755;65.081;65.108;65.387;65.228;65.118;64.583;65.131;66.023;64.767;65.278;65.555;66.502;18.182;65.145;65.712;67.105;65.833;66.457;66.153;66.909
95;64.068;64.07;64.12;64.156;64.738;64.709;64.815;64.768;65.092;65.032;65.075;64.702;17.786;65.46;65.574;64.517;65.144;65.965;64.774;65.371;66.452;66.182;200.759;65.813;65.957;67.255;65.588;65.284;66.643;66.367
96;64.186;64.167;64.123;64.189;64.59;65.097;64.676;64.638;64.882;65.146;65.617;64.872;198.78;65.209;64.997;64.81;65.125;65.764;64.678;65.763;65.976;65.866;65.987;65.311;65.747;67.967;65.448;65.674;66.237;67.365
97;64.112;64.074;64.135;64.018;64.966;64.552;64.265;64.536;64.908;64.591;67.595;64.949;65.361;64.835;65.018;64.82;65.312;65.819;64.814;17.351;65.79;65.879;66.21;65.35;17.653;66.671;65.541;66.779;66.331;66.988
98;64.298;64.316;65.378;64.705;65.544;64.88;64.915;64.831;64.536;64.677;65.244;64.823;65.204;64.924;65.364;64.491;17.806;65.951;17.343;199.799;64.874;65.721;65.401;65.19;200.512;67;65.596;65.51;19.33;67.861
99;64.092;64.128;64.515;63.853;64.607;64.727;64.516;64.628;64.557;64.688;65.149;64.7;64.914;64.78;64.774;64.349;199.258;66.463;299.822;66.306;65.518;65.391;65.178;65.382;66.811;67.668;65.164;65.369;203.381;66.913
100;64.259;64.221;64.415;64.476;64.403;64.36;64.931;64.572;64.664;64.477;17.529;64.998;64.917;65.025;17.517;64.685;65.541;65.535;68.432;65.875;65.149;66.334;65.372;65.764;65.897;67.068;65.577;65.478;68.711;66.725
101;64.176;64.255;64.811;65.518;64.536;64.909;64.49;64.777;64.702;64.562;199.339;64.833;64.676;64.776;198.43;64.808;65.419;65.46;66.552;65.533;65.546;65.236;65.755;65.807;66.211;66.639;17.682;65.818;68.292;66.483
102;64.209;64.138;64.569;65.165;64.618;64.532;64.368;65.338;64.823;64.42;65.454;64.624;65.069;64.77;64.847;64.368;64.983;17.615;67.591;65.196;66.89;65.499;65.851;65.599;65.755;66.754;202.527;65.413;67.361;67.185
103;64.084;64.128;64.141;64.199;64.311;64.468;64.409;64.958;17.339;64.775;65.414;64.78;64.679;64.825;64.755;65.08;65.081;199.743;68.868;65.253;17.734;65.174;65.038;65.252;68.438;66.304;67.526;66.683;69.815;66.667
104;64.165;64.095;64.136;64.045;64.796;64.982;64.43;64.786;199.308;64.714;65.232;64.655;64.675;64.726;64.598;64.533;65.083;65.65;66.23;65.656;198.888;65.217;65.874;65.681;66.589;67.063;67.477;65.877;72.776;66.436
105;63.982;63.982;64.232;64.212;64.846;64.524;64.411;64.771;65.696;64.777;65.231;64.485;64.639;64.624;64.681;64.34;64.919;65.687;66.228;65.261;66.817;64.945;65.118;65.532;66.053;66.563;66.591;65.894;69.002;69.488
106;64.183;64.268;64.152;64.17;64.362;64.475;64.441;64.733;65.423;17.919;65.188;64.455;65.284;65.349;64.356;64.441;64.909;65.516;17.827;65.756;67.983;65.272;65.461;65.452;65.789;66.619;66.878;67.276;67.748;67.008
107;64.118;64.03;64.317;64.259;64.407;64.323;64.451;17.476;64.994;199.174;65.314;64.881;64.988;64.932;64.949;64.563;65.414;65.282;198.331;64.997;66.071;64.941;65.539;65.463;65.371;66.475;66.929;65.612;68.152;66.64
