Lap;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
131;64.285;64.359;64.496;64.267;64.198;64.626;64.82;17.099;200.654;64.716;64.818;64.949;64.884;65.269;65.148;199.76;65.084;65.685;64.829;67.651;65.662;200.022;65.45;64.198;65.698;65.255;65.12;65.403;67.599;20.596
132;64.188;64.627;64.29;64.439;65.268;64.544;64.784;198.781;66.406;65.261;65.028;64.827;64.917;65.642;64.947;65.174;65.107;65.582;65.045;65.309;65.03;66.531;65.557;64.248;65.58;65.227;65.807;65.152;66.503;209.576
133;64.109;64.05;64.442;64.453;64.776;64.981;64.435;64.842;65.756;65.243;65.077;64.77;64.713;65.151;64.915;65.501;65.084;65.58;64.904;65.162;65.654;65.698;65.629;64.523;65.685;65.159;65.205;65.327;66.397;67.887
134;64.358;64.38;64.369;64.335;64.447;64.466;64.673;64.778;65.882;17.557;64.987;17.402;65.023;65.266;65.132;65.076;65.212;17.63;17.716;65.183;65.672;65.511;66.756;65.326;17.676;65.365;65.709;67.278;66.458;68.015
135;64.652;64.496;65.275;65.598;65.136;64.96;64.535;65.69;65.702;198.873;17.633;199.351;65.233;65.537;65.173;64.873;17.657;199.567;207.609;17.587;65.517;65.696;65.411;17.398;199.055;65.428;17.876;65.313;66.987;67.668
136;64.554;64.646;17.212;17.346;17.39;17.386;64.614;64.868;65.571;65.541;198.585;65.042;65.252;65.712;64.862;17.54;198.909;65.893;65.775;199.765;65.097;65.775;65.312;207.037;66.129;65.191;202.208;67.453;66.809;69.043
137;64.38;64.431;209.321;200.657;198.705;198.724;64.437;64.871;65.351;65.34;65.032;65.14;17.691;64.772;17.343;199.405;65.618;65.448;65.384;65.835;17.496;65.315;65.514;65.382;65.924;65.187;68.196;65.55;69.638;67.188
138;17.487;17.366;65.442;65.113;65.343;65.812;65.07;65.078;66.491;65.188;65.06;66.399;199.652;64.923;199.194;65.244;65.325;65.983;64.821;65.763;199.45;65.626;65.776;66.013;65.757;65.337;66.747;65.926;66.363;67.562
139;198.621;198.615;64.993;64.904;65.157;64.697;64.828;65.273;66.74;65.026;64.981;65.526;65.579;65.091;65.076;64.911;65.163;65.179;65.539;65.694;67.162;65.627;18.662;65.46;65.579;65.381;67.043;65.877;66.059;67.814
140;64.559;64.974;64.741;65.006;64.827;64.914;64.47;65.005;65.338;64.626;65.488;65.348;71.525;65.242;67.438;65.164;64.969;65.291;64.807;65.628;65.86;65.256;203.258;66.144;65.496;65.596;67.015;66.249;67.88;67.522
141;64.345;64.33;65.771;65.17;65.194;65.036;64.68;64.884;64.891;65.182;65.718;65.026;65.488;64.839;65.045;64.925;64.716;65.306;64.893;65.708;66.617;66.304;66.428;64.834;65.567;65.36;66.236;65.824;66.919;68.219
142;64.505;64.523;64.674;64.689;65.348;65.269;65.032;64.82;65.063;64.957;64.758;65.227;65.034;64.77;65.173;65.496;65.027;65.28;64.517;65.579;66.152;65.181;67.689;65.161;65.471;65.48;66.707;17.937;66.839;67.613
143;64.355;64.361;65.071;64.985;64.719;64.748;64.74;64.841;65.281;64.743;65.35;65.536;65.988;65.11;64.824;65.756;65.176;65.611;64.899;66.011;66.724;65.337;66.414;64.948;65.54;65.306;66.116;201.352;66.724;67.365
144;64.255;64.232;65.122;64.752;64.698;64.805;64.626;64.754;65.336;65.087;64.954;65.007;64.819;64.881;64.865;17.817;64.957;64.813;64.725;65.858;66.322;17.975;65.725;17.429;65.319;65.406;67.577;66.409;18.744;67.613
145;64.139;64.147;17.218;17.353;65.07;65.122;64.458;64.707;17.601;65.139;64.718;64.531;65.062;64.691;64.815;198.714;66.045;64.712;64.765;65.829;65.958;198.413;65.498;198.734;65.224;65.558;68.22;65.598;201.953;67.786
146;64.265;64.257;198.493;198.751;64.653;64.95;64.478;64.774;198.673;65.028;64.697;64.777;65.639;64.801;64.994;64.847;64.828;64.644;17.395;65.772;65.775;64.94;65.939;64.945;65.883;17.758;66.322;65.712;69.635;67.841
147;64.304;64.305;65.695;65.157;64.917;64.712;64.739;64.481;65.461;65.263;64.714;64.732;64.804;64.757;64.757;66.893;67.534;64.924;201.521;65.659;65.826;65.259;65.34;66.705;65.326;200.754;66.759;65.783;72.042;
148;64.339;64.337;66.198;66.036;64.691;64.687;64.95;17.312;65.398;65.105;64.714;64.789;64.696;17.212;65.113;64.81;65.147;64.658;66.054;17.805;66.336;65.347;65.586;64.841;65.5;67.69;65.704;65.397;69.115;
149;64.321;64.323;64.618;65.706;64.732;64.83;64.858;199.562;65.433;67.289;64.499;64.887;64.76;199.47;65.242;65.065;65.234;64.677;66.018;200.294;66.269;65.6;65.756;66.022;65.66;68.601;66.855;65.479;67.506;
150;64.151;64.208;65.307;65.277;64.702;64.693;17.501;65.465;64.872;65.297;64.725;64.69;64.795;65.627;65.071;64.725;64.774;64.751;66.058;66.184;18.021;66.119;17.551;65.284;65.903;68.951;66.174;65.078;66.971;
151;64.324;64.295;64.664;64.667;65.028;64.856;199.993;65.226;66.016;65.784;64.747;64.689;64.683;65.545;65.166;64.654;64.706;64.894;65.815;65.642;199.721;65.903;201.097;65.354;66.508;69.66;17.698;65.413;69.865;
