Lap;Team Baffo V5;Dick Dastardly Team;Team Pura Korse;Saltauser Team;Team Frasnelli;Team Coppe;Torggler Racing;Scuderia Glorenza;Team Faggiano
86;0;1.464;6.504;174.667;311.073;244.416;241.904;256.271;255.377
87;0;1.18;6.646;175.242;311.439;245.42;242.691;258.387;258.626
88;0;1.235;6.796;176.011;312.292;246.536;243.809;260.415;265.532
89;0;0.881;128.823;176.633;312.909;247.579;244.787;261.937;267.291
90;120.36;0;129.913;177.228;313.173;247.955;245.288;262.866;268.798
91;122.745;0;130.384;177.941;314.202;371.04;246.494;264.483;270.782
92;123.537;0;130.613;178.71;315.206;373.525;247.783;388.254;272.713
93;245.155;0;130.881;178.898;315.971;374.677;370.849;391.2;274.514
94;247.141;0;131.812;179.659;316.854;375.957;373.8;392.372;276.719
95;246.985;0;132.143;180.054;317.336;376.664;375.031;393.258;278.762
96;246.999;0;254.032;180.766;317.781;377.497;375.792;394.098;280.605
97;246.823;0;255.653;181.687;318.426;378.121;376.864;395.031;282.836
98;125.746;0;134.678;61.72;198.185;257.732;257.109;274.933;163.783
99;62.981;61.269;72.038;0;135.845;195.866;196.461;213.416;223.963
100;0.168;0;9.644;59.56;74.124;135.228;135.501;152.263;164.082
101;0.262;0;9.989;62.406;75.829;136.416;136.654;153.674;165.505
102;0.26;0;10.309;63.608;77;138.939;138.596;154.929;166.677
103;0.239;0;10.487;64.638;78.435;139.775;139.956;156.319;167.678
104;0.235;0;10.734;65.991;79.581;140.444;140.898;157.416;168.668
105;0.258;0;10.953;66.942;80.803;141.581;142.234;158.773;169.618
106;0.344;0;11.147;68.038;82.363;142.435;143.017;159.863;170.746
107;0.332;0;11.425;69.334;83.4;143.832;144.325;161.14;171.713
108;0.379;0;11.544;70.623;84.847;144.847;145.372;162.009;172.521
109;0.256;0;11.051;71.614;85.98;145.415;145.601;162.836;172.922
110;0;0.086;10.448;71.424;85.758;;;;
111;0;0.116;10.282;;;;;;
