Lap	Martin Putzer	Walter Stimpfl	Luciano Partacini	Matteo Impagnatiello	Davide Bonomi	Simone Pedrotti	Patrick Tschöll	Ronald Musa	Marco Masotti	Peter Stuffer	klocke marc	Federico Lanthaler	Matteo Traina	Michi Stuffer	Matteo Sannia	FERABOLI Nathan	Martin Jan Clemens	Hannes Krapf	Paolo Bagozzi	Axel Bianchi
37	0.672	0	6.29	27.863	29.858	34.441	29.432	33.593	47.938	56.093	53.83	51.668	61.515	73.497	42.13	76.184	87.456	108.428	98.136	
38	0.828	0	4.567	28.098	29.346	32.341	27.609	32.675	46.68	54.637	53.086	53.331	63.522	73.378	40.73	76.261	89.022	107.016	97.451	
39	0	0.691	4.299	29.172	30.811	31.9	29.057	33.703	46.809	55.327	53.929	54.857	65.807	74.578	40.776	77.692	92.01	106.974	98.049	
40	0	0.996	4.75	30.098	31.859	31.983	32.641	35.663	47.468	56.878	55.028	57.481	67.371	76.225	41.294	83.732	95.179	107.48	100.705	
41	0	0.667	5.09	30.655	32.24	31.88	34.593	36.924	48.397	57.602	56.67	60.269	68.767	77.834	41.806	87.719	97.038	107.345	103.705	
42	0.125	0	5.299	31.641	32.314	32.017	35.448	38.29	49.95	58.132	59.797	61.487	70.161	79.241	42.023	89.544	98.651	106.959	105.378	
43	0.556	0	5.879	33.909	33.48	31.849	36.92	39.604	53.259	59.119	63.036	63.341	72.195	81.196	42.631	91.907	101.275	107.2	108.16	
44	0.207	0	5.765	34.5	35.533	32.303	37.375	40.976	53.833	58.893	63.874	64.351	73.281	82.316	42.123	93.461	102.793	106.484	109.223	
45	0.882	0	6.528	35.053	36.414	34.483	39.079	43.542	55.542	60.176	65.623	66.548	75.73	84.537	43.645	98.076	105.386	107.363	111.691	
46	0.884	0	6.602	36.08	37.676	35.289	40.091	45.532	57.024	61.555	66.999	68.225	77.535	86.091	45.578	99.878	107.618	109.203	113.663	
47	1.288	0	6.947	36.593	38.253	36.241	40.989	47.357	57.894	61.703	67.828	69.742	79.171	87.529	46.935	101.55	108.797	112.106	115.363	
48	0.724	0	6.316	36.33	37.919	38.089	41.197	48.606	58.046	62.318	68.301	70.891	79.915	88.54	47.505	102.925	109.929	112.359	116.174	
49	0	0.17	5.389	35.434	36.853	36.959	41.577	49.263	58.029	61.639	67.995	71.486	80.466	88.87	46.614	102.948	111.532	111.787	116.652	
50	0	0.124	5.374	35.762	36.685	36.796	42.319	51.455	58.933	62.079	69.101	73.177	82.027	90.122	46.662	104.423	113.689	113.617	117.95	
51	0	0.113	5.366	35.543	36.272	36.398	43.434	52.981	59.654	62.327	70.023	74.789	83.557	91.4	46.818	105.792	115.325	114.473	119.126	
52	0	0.2	5.49	35.679	36.076	36.229	44.377	54.49	60.955	62.83	70.919	76.785	85.279	92.974	46.714	108.195	117.467	116.049	122.53	
53	0	0.105	5.364	35.608	35.784	36.344	45.291	55.882	62.129	63.377	73.475	81.402	91.015	100.022	47.055	117.649	128.918	133.038		
54	0	0.376	5.479	38.964	39.51	45.167	51.445	63.838							52.042					
