Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
51;72.955;71.523;72.634;72.385;73.112;72.856;73.036;73.282;73.355;192.675;73.986;73.865;74.062;73.904
52;72.311;71.512;72.283;72.481;72.706;72.887;72.797;192.117;73.531;74.443;73.734;73.082;74.651;74.841
53;72.44;71.507;72.309;72.372;72.797;72.961;72.541;74.669;73.243;73.817;73.19;73.387;74.992;74.98
54;72.24;71.45;72.353;72.225;72.981;72.8;73.09;73.623;73.294;73.523;72.728;73.725;73.823;74.988
55;72.27;71.549;72.391;72.211;72.955;72.714;72.886;74.095;73.508;73.432;73.283;73.442;73.509;73.729
56;72.375;71.573;72.647;72.349;72.787;72.848;73.481;191.765;73.099;73.353;192.716;73.256;73.936;74.752
57;72.276;71.399;72.295;72.727;72.73;73.206;72.748;74.234;73.21;73.62;74.56;73.125;73.902;196.741
58;72.234;71.547;72.251;72.608;72.94;72.837;72.916;73.179;73.072;73.532;73.534;73.298;74.1;75.122
59;72.413;71.318;72.371;72.808;72.753;72.834;72.937;72.691;191.688;73.63;72.78;73.225;194.727;74.191
60;72.303;71.352;72.351;72.245;72.98;72.824;72.597;72.994;75.775;73.441;72.361;73.135;76.004;74.444
61;72.182;71.261;72.233;72.144;191.534;72.792;72.658;72.903;74.352;73.764;73.225;73.821;74.669;74.405
62;72.363;71.627;72.277;72.292;74.658;72.582;72.711;72.546;74.006;73.281;72.865;72.906;74.56;75.161
63;72.112;72.037;72.168;72.29;72.859;72.764;72.738;72.788;73.806;73.312;72.55;72.777;74.764;73.85
64;72.258;71.445;72.202;72.136;72.626;72.749;72.329;72.725;192.743;192.214;72.626;73.519;74.164;74.235
65;72.231;71.589;72.228;72.198;72.354;72.963;72.645;72.527;75.679;75.107;72.814;73.44;73.816;74.152
66;72.253;71.468;72.282;72.186;72.559;72.833;72.624;72.816;73.812;73.953;72.595;72.431;74.059;73.878
67;72.504;71.463;72.447;72.43;72.346;72.56;72.478;72.628;73.963;73.633;72.726;72.809;74.496;74.367
68;72.251;71.427;72.282;72.528;72.486;72.837;72.743;72.692;73.774;73.854;72.565;73.899;74.158;73.917
69;72.212;191.011;72.256;72.183;72.335;72.569;72.818;73.063;73.688;73.481;72.839;192.249;74.365;74.642
70;72.098;75.502;72.168;72.11;72.24;72.68;72.784;73.078;73.634;191.64;191.569;74.041;74.734;74.324
71;73.336;73.495;72.498;72.441;190.803;72.738;72.902;72.875;73.341;74.587;74.138;73.148;74.316;74.36
72;190.545;73.018;190.695;190.954;74.183;191.348;191.746;72.927;73.61;73.759;73.2;72.904;74.93;74.086
73;73.579;73.118;73.588;75.993;73.527;73.673;74.595;72.781;72.881;73.441;73.394;73.152;74.078;74.117
74;72.088;73.092;72.188;73.977;72.837;72.265;73.09;72.783;73.149;73.249;73.221;72.957;193.426;194.028
75;71.926;73.14;71.892;192.639;72.988;72.296;73.066;72.69;73.07;73.104;73.118;72.62;75.232;75.622
