Lap;Luciano Partacini;Walter Stimpfl;Martin Putzer;Axel Bianchi;Matteo Sannia;Ronald Musa;Peter Stuffer;Patrick Tschöll;Matteo Biasi;Felix Ladurner;Paolo Bagozzi;Matteo Traina;Giancarlo Finelli;Martin Jan Clemens;Giorginho;Aldo Pistono;Marc Pistono;Gabriele Odorizzi
40;58.676;59.48;58.786;59.207;59.315;58.889;60.033;58.992;59.067;59.328;59.676;59.569;182.533;89.577;62.219;61.555;60.531;61.099
41;58.555;58.392;58.537;59.033;59.224;59.01;59.372;59.303;180.456;59.472;59.775;59.715;63.971;60.002;60.928;59.428;59.76;70.395
42;59.373;58.667;58.78;59.189;59.365;179.676;59.117;59.511;62.323;182.202;59.804;59.544;60.754;59.999;186.147;59.491;60.059;62.244
43;58.756;58.759;58.658;58.897;180.37;61.62;59.038;59.397;60.499;61.227;60.315;59.927;60.756;59.931;62.944;59.321;62.313;61.629
44;58.622;58.77;58.625;59.094;61.071;59.836;58.987;59.655;60.047;59.388;59.605;59.713;59.933;60.119;63.58;59.489;60.757;61.237
45;58.782;58.377;58.679;59.184;58.884;59.525;59.381;59.693;59.866;58.968;59.63;59.675;60.394;60.169;62.032;59.717;67.508;61.571
46;58.609;58.541;58.68;59.173;58.754;59.237;184.731;59.741;60.087;61.358;59.668;181.974;60.981;59.961;61.038;59.608;60.532;61.188
47;58.338;58.605;58.557;59.152;58.833;59.151;61.185;59.465;59.908;59.323;59.409;62.654;59.652;60.285;61.076;59.903;60.217;60.313
48;58.194;58.351;58.436;59.254;58.688;59.444;59.661;181.091;60.035;58.619;60.098;61.893;60.992;182.529;61.362;59.037;59.609;
49;59.003;59;58.862;59.158;58.583;59.096;59.827;61.168;60.081;58.656;59.784;60.241;60.821;62.559;61.099;60.059;60.083;
50;179.483;58.9;58.693;59.145;59.216;59.311;59.55;59.149;59.787;58.979;59.933;60.064;60.394;61.451;60.616;59.512;;
51;60.432;180.57;58.561;59.15;58.719;59.526;60.413;59.317;60.105;59.062;191.701;60.08;60.455;60.287;62.355;;;
52;59.453;60.464;188.994;178.397;58.603;59.291;59.716;58.707;59.937;58.887;62.084;60.595;60.675;60.882;61.477;;;
53;59.342;58.689;60.674;60.395;58.73;59.599;59.753;59.509;59.96;59.243;59.36;59.763;60.712;60.314;;;;
54;58.583;58.486;58.974;58.782;58.766;59.328;60.012;59.514;59.975;58.845;59.129;59.035;60.277;;;;;
55;58.888;59.48;58.878;58.433;59.012;59.273;59.97;59.258;59.806;58.654;;;;;;;;
